Time_offload,Time_process,Time_reply,Time_e2e
-1303.02,874.80,1365.96,937.74
-1319.94,874.78,1366.32,921.16
-1337.18,874.76,1366.51,904.10
-1353.22,874.75,1366.67,888.19
-492.60,11.77,1362.56,881.73
-508.95,11.77,1362.80,865.62
-525.49,11.77,1362.92,849.20
-540.43,11.78,1363.38,834.73
-543.77,11.29,1364.69,832.21
-559.13,11.29,1364.76,816.92
-576.60,11.30,1364.80,799.50
-594.97,11.30,1364.84,781.17
-600.84,11.17,1362.20,772.52
-617.57,11.17,1362.28,755.88
-633.44,11.17,1362.34,740.06
-649.53,11.17,1362.41,724.05
-654.75,11.06,1361.96,718.28
-671.43,11.07,1362.02,701.66
-687.65,11.07,1362.21,685.63
-704.06,11.07,1362.26,669.27
-708.07,11.25,1361.90,665.08
-722.49,11.25,1361.96,650.73
-739.05,11.26,1362.01,634.22
-752.19,11.26,1362.35,621.42
-756.04,11.23,1362.13,617.32
-772.04,11.24,1362.20,601.40
-788.43,11.24,1362.39,585.21
-803.63,11.25,1362.45,570.07
-807.52,11.15,1362.02,565.64
-822.89,11.16,1362.09,550.35
-835.50,11.16,1362.28,537.93
-1320.87,11.16,1362.34,52.63
-1319.75,11.06,1362.25,53.56
-1330.37,11.07,1362.40,43.10
-1341.84,11.07,1362.48,31.72
-1352.95,11.08,1362.71,20.83
-1317.15,17.59,1362.20,62.64
-1329.33,17.59,1362.77,51.03
-1343.18,17.58,1362.95,37.35
-1355.70,17.57,1363.10,24.97
-1307.35,24.89,1366.81,84.35
-1321.74,24.87,1366.95,70.09
-1337.05,24.86,1367.06,54.87
-1353.04,24.84,1367.14,38.94
-1302.49,24.44,1368.13,90.09
-1318.08,24.43,1368.45,74.80
-1333.80,24.41,1368.60,59.20
-1351.94,24.39,1368.84,41.29
-1301.31,24.75,1368.55,92.00
-1317.21,24.73,1368.70,76.23
-1333.42,24.72,1368.91,60.20
-1351.23,24.71,1369.03,42.50
-1300.75,24.73,1366.97,90.95
-1318.26,24.71,1367.09,73.53
-1335.00,24.69,1367.18,56.87
-1351.92,24.68,1367.26,40.01
-1305.48,23.61,1369.16,87.29
-1321.99,23.59,1369.33,70.93
-1337.02,23.58,1369.46,56.02
-1352.47,23.57,1369.57,40.66
-1303.38,24.30,1370.32,91.25
-1320.96,24.29,1370.56,73.89
-1336.03,24.27,1370.71,58.95
-1352.29,24.26,1370.83,42.80
-1301.04,24.76,1368.03,91.75
-1319.63,24.75,1368.41,73.53
-1335.56,24.73,1368.61,57.78
-1352.12,24.72,1368.74,41.33
-1304.02,23.87,1367.85,87.71
-1321.00,23.86,1368.03,70.88
-1336.85,23.84,1368.43,55.42
-1353.62,23.83,1368.68,38.89
-1303.67,24.24,1369.18,89.75
-1319.55,24.23,1369.35,74.02
-1334.61,24.21,1369.48,59.08
-1351.59,24.20,1369.59,42.20
-1301.03,24.62,1369.44,93.04
-1318.72,24.61,1369.59,75.48
-1335.16,24.59,1369.71,59.13
-1352.01,24.58,1369.80,42.37
-1300.54,24.38,1369.87,93.72
-1319.25,24.36,1370.09,75.20
-1334.43,24.34,1370.24,60.15
-1351.11,24.33,1370.37,43.59
-1273.47,15.48,1368.04,110.05
-1292.56,15.47,1368.22,91.13
-1308.27,15.45,1368.42,75.60
-1325.31,15.44,1368.52,58.66
-1306.21,16.70,1363.24,73.73
-1323.15,16.69,1363.46,57.00
-1339.56,16.69,1363.57,40.70
-1354.94,16.68,1363.66,25.40
-1303.92,25.34,1368.45,89.88
-1318.06,25.33,1368.62,75.89
-1334.07,25.31,1368.76,60.01
-1352.00,25.30,1368.88,42.18
-1299.16,24.56,1364.36,89.76
-1316.93,24.54,1364.52,72.13
-1333.17,24.53,1364.63,55.99
-1349.64,24.51,1364.74,39.61
-1300.67,23.96,1369.47,92.76
-1316.01,23.94,1369.67,77.60
-1332.79,23.93,1369.82,60.96
-1349.89,23.91,1369.94,43.96
-1302.60,24.22,1368.59,90.21
-1319.09,24.20,1368.72,73.83
-1335.24,24.19,1368.81,57.75
-1352.02,24.17,1368.89,41.05
-1304.91,23.72,1370.28,89.09
-1321.73,23.71,1370.42,72.40
-1337.66,23.69,1370.53,56.57
-1352.80,23.68,1370.63,41.52
-1297.92,25.15,1363.10,90.32
-1315.19,25.13,1363.32,73.26
-1331.61,25.11,1363.43,56.94
-1346.58,25.10,1363.69,42.21
-1309.87,19.46,1363.60,73.19
-1325.09,19.45,1363.87,58.23
-1338.38,19.44,1364.04,45.09
-1353.41,19.43,1364.22,30.24
-1308.44,24.04,1370.10,85.71
-1323.05,24.03,1370.29,71.27
-1338.14,24.01,1370.43,56.31
-1353.29,24.00,1370.56,41.27
-1299.68,24.89,1369.04,94.26
-1315.79,24.87,1369.22,78.30
-1333.88,24.86,1369.35,60.32
-1351.04,24.84,1369.46,43.27
-1300.38,24.84,1366.29,90.75
-1317.96,24.82,1366.44,73.31
-1334.30,24.81,1366.61,57.11
-1351.03,24.79,1366.83,40.59
-1302.58,23.98,1369.79,91.19
-1318.74,23.96,1369.92,75.14
-1334.54,23.95,1370.02,59.43
-1351.78,23.94,1370.11,42.27
-1304.50,23.93,1368.95,88.38
-1322.53,23.92,1369.10,70.49
-1338.02,23.90,1369.43,55.31
-1353.59,23.89,1369.53,39.82
-1305.76,23.73,1364.34,82.31
-1322.63,23.71,1364.41,65.48
-1338.00,23.69,1364.56,50.25
-1352.96,23.68,1364.61,35.33
-1317.14,19.47,1364.31,66.64
-1333.79,19.45,1364.38,50.04
-1344.66,19.44,1364.65,39.44
-1356.81,19.43,1364.71,27.33
-1320.58,19.75,1366.82,65.99
-1332.76,19.73,1366.93,53.90
-1343.97,19.72,1367.00,42.75
-1356.27,19.71,1367.07,30.51
-1311.71,22.97,1367.93,79.19
-1324.71,22.95,1368.05,66.29
-1337.70,22.94,1368.31,53.54
-1352.33,22.93,1368.39,38.98
-1309.99,22.78,1362.64,75.43
-1326.49,22.76,1362.74,59.01
-1340.59,22.72,1362.79,44.92
-1354.82,22.70,1362.84,30.72
-1320.16,18.49,1362.45,60.78
-1333.19,18.47,1362.62,47.90
-1344.18,18.46,1362.99,37.28
-1356.48,18.46,1363.10,25.08
-1308.13,24.34,1368.50,84.71
-1320.55,24.32,1368.64,72.41
-1334.36,24.30,1368.73,58.67
-1351.12,24.29,1368.81,41.98
-1303.28,24.54,1366.30,87.56
-1319.97,24.52,1366.65,71.20
-1335.48,24.51,1366.82,55.84
-1350.32,24.49,1366.94,41.12
-1302.30,23.85,1369.76,91.32
-1318.18,23.83,1369.94,75.60
-1334.50,23.82,1370.08,59.40
-1351.04,23.80,1370.20,42.96
-1301.54,24.79,1364.43,87.69
-1319.25,24.77,1364.56,70.07
-1334.91,24.75,1364.65,54.49
-1351.88,24.74,1364.72,37.58
-1303.53,23.93,1370.31,90.72
-1319.26,23.91,1370.50,75.15
-1333.74,23.89,1370.90,61.05
-1350.79,23.88,1371.03,44.13
-1297.95,25.32,1368.46,95.84
-1315.35,25.30,1368.63,78.58
-1332.31,25.29,1368.74,61.71
-1350.40,25.27,1368.83,43.70
-1299.86,25.04,1368.11,93.29
-1317.21,25.02,1368.28,76.09
-1333.46,25.01,1368.41,59.96
-1349.99,24.99,1368.53,43.53
-1299.86,24.71,1369.87,94.72
-1316.94,24.69,1370.03,77.78
-1333.58,24.68,1370.14,61.24
-1350.91,24.67,1370.43,44.18
-1301.11,24.87,1369.61,93.37
-1319.55,24.85,1369.78,75.08
-1335.33,24.84,1369.90,59.40
-1350.40,24.83,1370.01,44.44
-1296.29,25.47,1365.33,94.50
-1314.34,25.44,1365.45,76.55
-1332.32,25.42,1365.54,58.64
-1351.19,25.40,1365.62,39.83
-1306.98,22.99,1369.96,85.97
-1322.90,22.97,1370.28,70.35
-1337.89,22.95,1370.86,55.92
-1353.09,22.94,1371.03,40.88
-1301.49,25.04,1369.30,92.85
-1318.11,25.01,1369.43,76.33
-1333.94,24.98,1369.53,60.58
-1351.36,24.97,1369.62,43.22
-1298.64,25.58,1368.59,95.54
-1316.40,25.56,1368.71,77.87
-1332.71,25.55,1368.81,61.65
-1350.19,25.53,1368.89,44.23
-1302.38,24.36,1368.97,90.95
-1320.38,24.34,1369.13,73.09
-1336.25,24.32,1369.25,57.32
-1352.37,24.31,1369.34,41.28
-1304.22,23.94,1368.89,88.61
-1321.12,23.92,1369.02,71.81
-1337.28,23.90,1369.11,55.73
-1353.14,23.88,1369.20,39.94
-1300.23,25.12,1366.49,91.38
-1316.95,25.10,1366.60,74.74
-1332.71,25.08,1366.68,59.05
-1350.55,25.07,1366.75,41.27
-1307.03,23.16,1363.35,79.48
-1324.26,23.14,1363.59,62.47
-1338.20,23.12,1370.46,55.38
-1353.16,23.11,1370.62,40.56
-1302.58,24.81,1370.04,92.27
-1320.23,24.79,1370.50,75.05
-1335.55,24.77,1370.64,59.87
-1351.85,24.76,1370.76,43.67
-1301.00,24.47,1369.76,93.23
-1318.95,24.45,1369.90,75.40
-1335.82,24.43,1370.01,58.62
-1352.20,24.42,1370.11,42.34
-1300.16,25.03,1368.73,93.59
