Time_offload,Time_process,Time_reply,Time_e2e
-1327.71,34.36,1365.60,72.25
-1337.47,34.35,1365.71,62.59
-1347.06,34.33,1365.83,53.10
-1356.88,34.32,1365.89,43.33
-1328.63,11.12,1363.72,46.20
-1338.48,11.12,1363.81,36.45
-1348.30,11.13,1364.11,26.94
-1357.80,11.13,1364.19,17.52
-1329.47,15.64,1365.65,51.82
-1338.63,15.63,1365.75,42.75
-1347.90,15.63,1365.81,33.55
-1357.37,15.63,1365.88,24.14
-1327.04,17.05,1364.61,54.61
-1337.23,17.04,1365.08,44.89
-1346.78,17.04,1365.16,35.42
-1356.24,17.03,1365.22,26.01
-1329.42,15.29,1366.19,52.06
-1338.88,15.28,1366.29,42.69
-1348.17,15.28,1366.37,33.48
-1357.38,15.28,1366.43,24.33
-1328.24,16.46,1363.44,51.66
-1338.11,16.46,1363.63,41.98
-1348.17,16.46,1365.23,33.51
-1357.46,16.45,1365.36,24.34
-1331.39,15.07,1364.63,48.31
-1340.83,15.06,1364.71,38.94
-1349.53,15.06,1364.77,30.30
-1358.18,15.06,1364.82,21.70
-1331.03,15.47,1364.76,49.20
-1340.29,15.47,1364.86,40.04
-1349.05,15.47,1364.92,31.34
-1357.92,15.46,1364.98,22.53
-1328.71,16.58,1363.47,51.34
-1338.05,16.57,1363.54,42.06
-1347.52,16.57,1364.34,33.39
-1356.90,16.57,1364.40,24.06
-1332.83,14.40,1365.18,46.75
-1341.53,14.40,1365.26,38.13
-1350.60,14.40,1365.31,29.11
-1358.82,14.40,1365.36,20.94
-1330.20,16.26,1364.39,50.45
-1339.13,16.25,1364.48,41.60
-1348.89,16.25,1364.55,31.91
-1357.98,16.25,1364.60,22.88
-1329.39,15.94,1364.97,51.51
-1338.98,15.93,1365.09,42.04
-1348.27,15.93,1365.52,33.17
-1357.71,15.92,1365.76,23.98
-1328.24,16.75,1364.11,52.63
-1337.99,16.75,1364.26,43.02
-1348.13,16.74,1364.34,32.95
-1357.32,16.74,1364.40,23.81
-1328.89,15.94,1367.71,54.76
-1338.75,15.94,1367.83,45.01
-1348.27,15.94,1367.89,35.56
-1357.83,15.93,1367.97,26.07
-1325.85,17.81,1364.25,56.21
-1337.18,17.80,1364.33,44.94
-1347.70,17.79,1364.38,34.48
-1357.53,17.79,1364.44,24.69
-1328.93,15.87,1365.34,52.28
-1338.62,15.87,1365.45,42.70
-1348.24,15.87,1365.53,33.16
-1357.80,15.86,1365.61,23.67
-1327.51,16.98,1365.08,54.56
-1337.31,16.98,1365.20,44.86
-1347.07,16.97,1365.28,35.18
-1357.22,16.97,1365.34,25.08
-1328.57,16.07,1364.03,51.53
-1338.57,16.06,1364.15,41.64
-1348.88,16.06,1364.41,31.59
-1357.86,16.05,1364.50,22.69
-1327.27,16.67,1364.43,53.83
-1336.51,16.66,1364.52,44.67
-1346.30,16.66,1364.59,34.95
-1357.06,16.65,1364.65,24.24
-1327.80,16.59,1364.55,53.33
-1337.72,16.58,1364.64,43.50
-1347.47,16.57,1364.71,33.81
-1357.26,16.57,1364.77,24.08
-1328.35,16.09,1364.33,52.06
-1338.28,16.08,1364.43,42.23
-1347.74,16.08,1364.50,32.83
-1357.14,16.08,1364.56,23.51
-1329.12,16.31,1364.70,51.89
-1338.50,16.31,1364.78,42.59
-1348.19,16.31,1364.84,32.95
-1357.66,16.30,1364.89,23.54
-1330.56,15.37,1364.00,48.81
-1340.29,15.37,1364.08,39.17
-1350.04,15.37,1364.16,29.48
-1358.51,15.37,1364.21,21.06
-1331.58,15.41,1365.25,49.08
-1340.42,15.41,1365.35,40.33
-1349.15,15.40,1365.41,31.66
-1358.07,15.40,1365.47,22.80
-1331.34,15.27,1363.53,47.47
-1340.90,15.27,1363.60,37.97
-1350.14,15.26,1364.29,29.41
-1358.71,15.26,1364.35,20.90
-1333.56,14.31,1363.79,44.54
-1341.79,14.31,1363.86,36.38
-1350.37,14.31,1364.09,28.03
-1358.57,14.31,1364.14,19.88
-1333.96,14.64,1364.88,45.57
-1342.67,14.64,1365.12,37.09
-1350.69,14.64,1365.27,29.22
-1359.06,14.64,1365.43,21.01
-1330.40,16.19,1368.58,54.37
-1339.29,16.19,1368.79,45.68
-1348.36,16.18,1368.93,36.76
-1357.48,16.18,1369.08,27.78
-1320.93,19.70,1364.04,62.81
-1332.11,19.68,1364.13,51.70
-1344.51,19.67,1364.18,39.35
-1356.37,19.66,1364.38,27.67
-1328.41,15.11,1365.92,52.62
-1338.95,15.11,1366.03,42.18
-1348.79,15.10,1366.11,32.42
-1358.38,15.10,1366.18,22.90
-1328.12,16.86,1364.00,52.73
-1337.42,16.85,1364.09,43.52
-1347.45,16.84,1364.27,33.67
-1357.48,16.84,1364.34,23.70
-1329.38,15.83,1364.23,50.69
-1338.99,15.83,1364.33,41.17
-1348.54,15.83,1364.40,31.69
-1358.08,15.82,1364.47,22.21
