Time_offload,Time_process,Time_reply,Time_e2e
-1292.93,933.85,1371.12,1012.04
-1304.80,933.81,1371.45,1000.46
-1316.69,933.78,1371.66,988.76
-1326.24,933.76,1371.82,979.35
-1334.65,933.73,1371.97,971.05
-1342.73,933.70,1372.12,963.10
-1350.35,933.68,1372.26,955.59
-1357.82,933.65,1372.41,948.24
-429.54,21.49,1366.54,958.50
-436.96,21.50,1367.22,951.76
-444.33,21.50,1367.38,944.56
-452.03,21.51,1367.51,936.98
-482.74,21.51,1367.63,906.41
-493.82,21.51,1368.00,895.70
-504.99,21.51,1368.13,884.65
-515.84,21.52,1368.25,873.93
-486.50,20.87,1367.38,901.76
-494.93,20.88,1367.60,893.55
-573.55,20.88,1367.65,814.99
-585.13,20.89,1367.70,803.46
-596.17,20.89,1367.74,792.46
-606.52,20.89,1367.78,782.16
-660.43,20.90,1367.82,728.28
-672.14,20.90,1367.85,716.62
-723.17,21.04,1365.51,663.38
-736.06,21.04,1365.57,650.56
-747.03,21.05,1365.62,639.64
-758.76,21.05,1366.45,628.74
-1339.41,21.05,1366.51,48.15
-1346.67,21.06,1366.55,40.93
-1353.80,21.06,1366.59,33.85
-1360.40,21.06,1366.63,27.30
-1311.20,27.18,1365.61,81.60
-1318.30,27.18,1365.68,74.56
-1325.43,27.17,1367.09,68.83
-1331.61,27.16,1367.16,62.71
-1338.91,27.16,1367.20,55.45
-1346.03,27.15,1367.25,48.37
-1353.29,27.15,1367.29,41.14
-1360.74,27.14,1367.33,33.73
-1309.85,26.76,1366.87,83.78
-1317.04,26.75,1367.02,76.73
-1324.37,26.75,1367.09,69.47
-1331.81,26.74,1367.25,62.18
-1338.63,26.74,1367.32,55.42
-1346.03,26.73,1367.36,48.06
-1353.43,26.73,1367.41,40.71
-1360.79,26.72,1367.45,33.38
-1307.06,27.76,1369.97,90.67
-1314.32,27.75,1370.07,83.51
-1321.77,27.75,1370.35,76.33
-1329.38,27.74,1370.43,68.79
-1337.24,27.73,1370.51,61.00
-1344.61,27.72,1370.57,53.69
-1352.17,27.72,1370.64,46.19
-1360.00,27.71,1371.21,38.92
-1302.32,29.38,1365.61,92.66
-1310.60,29.36,1365.68,84.44
-1319.51,29.35,1366.18,76.03
-1327.60,29.33,1366.25,67.98
-1336.37,29.32,1366.31,59.26
-1344.06,29.31,1366.36,51.61
-1351.72,29.30,1366.40,43.98
-1359.48,29.29,1366.44,36.25
-1305.82,27.32,1367.58,89.08
-1313.80,27.31,1367.69,81.21
-1321.81,27.30,1367.78,73.27
-1329.69,27.29,1367.85,65.46
-1337.40,27.29,1367.92,57.81
-1345.27,27.28,1367.99,50.00
-1353.33,27.28,1368.05,42.00
-1360.71,27.27,1368.11,34.67
-1297.15,32.10,1365.84,100.79
-1304.58,32.08,1365.92,93.42
-1312.29,32.06,1366.13,85.90
-1320.07,32.05,1366.19,78.17
-1327.58,32.03,1366.25,70.70
-1337.05,32.02,1366.30,61.26
-1347.68,32.00,1370.28,54.60
-1357.65,31.99,1370.38,44.72
-1302.07,27.65,1369.03,94.62
-1310.86,27.64,1369.12,85.91
-1319.14,27.64,1369.18,77.67
-1327.39,27.63,1369.23,69.47
-1334.75,27.62,1369.29,62.16
-1342.09,27.62,1369.34,54.87
-1350.97,27.61,1369.40,46.04
-1359.59,27.61,1369.45,37.47
-1300.52,30.18,1365.86,95.52
-1308.76,30.16,1366.15,87.56
-1316.98,30.15,1366.21,79.38
-1325.19,30.13,1366.26,71.20
-1333.75,30.12,1366.31,62.67
-1342.36,30.11,1366.35,54.09
-1350.90,30.09,1367.07,46.27
-1359.34,30.08,1367.18,37.92
-1307.03,26.40,1368.44,87.81
-1315.27,26.39,1368.51,79.64
-1323.43,26.39,1368.56,71.52
-1331.26,26.38,1368.61,63.74
-1339.02,26.38,1368.65,56.01
-1346.34,26.37,1368.70,48.73
-1353.67,26.37,1368.75,41.44
-1360.82,26.37,1368.78,34.33
-1303.15,29.50,1365.53,91.87
-1310.48,29.48,1365.98,84.98
-1318.50,29.47,1366.06,77.03
-1326.75,29.46,1366.12,68.83
-1334.53,29.45,1366.17,61.09
-1342.09,29.44,1370.43,57.78
-1349.82,29.42,1370.74,50.35
-1357.56,29.41,1370.83,42.68
-1306.89,26.23,1366.13,85.46
-1314.77,26.22,1366.20,77.64
-1322.76,26.21,1366.34,69.79
-1330.84,26.20,1366.39,61.75
-1338.19,26.19,1366.43,54.43
-1345.61,26.19,1366.47,47.04
-1353.25,26.18,1367.25,40.18
-1360.45,26.18,1367.29,33.02
-1309.98,26.76,1367.07,83.85
-1317.17,26.76,1367.12,76.72
-1324.32,26.75,1367.20,69.63
-1331.58,26.74,1367.27,62.43
-1338.83,26.74,1367.31,55.22
-1346.00,26.73,1367.35,48.08
-1353.41,26.73,1367.39,40.71
-1360.81,26.72,1367.43,33.34
-1311.03,26.65,1368.16,83.79
-1318.20,26.65,1368.23,76.67
-1325.46,26.64,1368.28,69.47
-1332.57,26.64,1368.33,62.40
-1339.03,26.63,1368.37,55.98
-1346.23,26.63,1368.42,48.82
-1353.54,26.62,1368.46,41.54
-1360.79,26.62,1368.50,34.33
-1304.30,28.99,1376.69,101.38
-1311.73,28.98,1376.77,94.02
-1319.68,28.97,1376.82,86.10
-1327.43,28.96,1376.87,78.40
-1335.38,28.95,1376.92,70.49
-1343.48,28.94,1376.96,62.42
-1351.56,28.93,1377.01,54.38
-1359.77,28.92,1377.05,46.21
-1303.53,28.70,1365.96,91.13
-1311.93,28.69,1366.14,82.90
-1319.98,28.68,1366.53,75.23
-1327.79,28.67,1366.63,67.51
-1335.69,28.66,1366.72,59.68
-1343.03,28.64,1366.81,52.43
-1350.65,28.64,1367.11,45.09
-1358.26,28.63,1367.21,37.57
-1294.72,31.09,1366.47,102.84
-1304.21,31.06,1366.55,93.40
-1314.52,31.03,1366.61,83.13
-1325.37,31.01,1366.67,72.32
-1334.35,31.00,1366.72,63.37
-1342.81,30.98,1366.91,55.09
-1351.42,30.97,1366.97,46.52
-1359.46,30.95,1367.02,38.52
-1303.71,27.84,1367.52,91.65
-1311.75,27.83,1368.02,84.10
-1320.04,27.82,1368.09,75.87
-1328.34,27.81,1368.14,67.61
-1336.29,27.81,1368.18,59.70
-1344.26,27.80,1368.23,51.76
-1352.21,27.79,1368.27,43.84
-1360.10,27.78,1368.31,35.99
-1304.90,28.45,1365.63,89.18
-1312.73,28.44,1366.22,81.93
-1320.62,28.43,1366.29,74.10
-1328.78,28.42,1366.38,66.02
-1336.41,28.41,1366.43,58.43
-1344.30,28.40,1366.47,50.57
-1351.50,28.39,1366.51,43.41
-1359.50,28.38,1366.55,35.43
-1309.82,26.11,1368.52,84.80
-1317.10,26.10,1368.60,77.61
-1324.23,26.10,1368.84,70.71
-1331.41,26.10,1368.89,63.58
-1338.48,26.09,1368.94,56.55
-1345.71,26.09,1368.99,49.37
-1352.93,26.08,1369.02,42.18
-1360.22,26.08,1369.07,34.93
-1304.72,28.79,1368.90,92.97
-1312.82,28.78,1369.00,84.96
-1320.85,28.77,1369.08,77.01
-1328.37,28.76,1369.25,69.64
-1336.27,28.75,1369.33,61.82
-1343.83,28.74,1369.40,54.31
-1351.76,28.74,1369.46,46.44
-1359.69,28.73,1369.52,38.56
-1302.20,29.06,1369.09,95.94
-1310.20,29.04,1369.44,88.28
-1318.34,29.03,1369.56,80.25
-1326.77,29.02,1369.66,71.91
-1336.06,29.01,1369.75,62.70
-1343.98,29.00,1369.85,54.87
-1351.91,28.99,1369.94,47.02
-1359.67,28.98,1370.04,39.35
-1292.46,32.77,1366.94,107.26
-1300.46,32.76,1367.10,99.40
-1308.60,32.74,1367.21,91.35
-1317.42,32.72,1367.32,82.62
-1327.16,32.71,1367.42,72.97
-1337.34,32.70,1367.51,62.86
-1347.17,32.68,1367.60,53.11
-1356.88,32.67,1367.87,43.66
-1283.22,33.61,1368.44,118.83
-1294.47,33.59,1368.54,107.67
-1305.18,33.58,1368.82,97.22
-1316.11,33.56,1368.89,86.34
-1326.75,33.54,1368.95,75.74
-1337.98,33.53,1369.02,64.57
-1348.07,33.52,1369.09,54.53
-1357.32,33.50,1369.15,45.33
-1302.53,27.37,1368.38,93.22
-1311.32,27.37,1368.45,84.50
-1318.81,27.36,1368.51,77.06
