Time_offload,Time_process,Time_reply,Time_e2e
-1187.79,32.50,1369.23,213.94
-1212.96,32.48,1369.46,188.98
-1238.89,32.46,1369.60,163.17
-1264.41,32.45,1369.70,137.74
-1289.46,32.43,1370.15,113.12
-1313.55,32.42,1370.26,89.12
-1337.76,32.40,1370.35,64.99
-1358.99,32.39,1370.45,43.84
-1188.50,38.11,1376.53,226.14
-1211.67,38.09,1376.68,203.10
-1234.37,38.07,1376.80,180.50
-1259.39,38.06,1376.88,155.55
-1286.14,38.04,1376.99,128.89
-1311.63,38.02,1377.08,103.47
-1336.92,38.01,1377.17,78.26
-1360.50,38.00,1377.25,54.75
-1183.97,24.05,1369.48,209.56
-1207.93,24.03,1369.67,185.77
-1232.85,24.01,1369.81,160.97
-1257.53,23.99,1369.94,136.41
-1282.05,23.98,1370.06,111.98
-1308.19,23.96,1370.70,86.48
-1333.15,23.94,1371.27,62.07
-1358.55,23.93,1371.42,36.80
-1180.32,37.92,1371.33,228.92
-1205.19,37.90,1371.41,204.11
-1229.79,37.88,1371.47,179.56
-1255.50,37.86,1371.52,153.89
-1281.51,37.85,1371.57,127.90
-1305.98,37.84,1371.61,103.47
-1331.21,37.82,1371.65,78.27
-1356.90,37.81,1371.70,52.61
-1201.38,37.95,1368.74,205.31
-1224.81,37.93,1368.81,181.93
-1245.42,37.91,1368.86,161.35
-1266.86,37.89,1369.19,140.22
-1290.29,37.88,1369.24,116.83
-1314.32,37.86,1369.29,92.82
-1339.50,37.85,1369.33,67.67
-1361.58,37.83,1369.37,45.62
-1217.97,37.96,1369.72,189.71
-1237.28,37.94,1370.08,170.74
-1257.87,37.93,1370.34,150.40
-1278.04,37.91,1370.53,130.41
-1297.30,37.89,1378.36,118.95
-1316.65,37.88,1378.57,99.80
-1336.00,37.86,1378.70,80.57
-1357.47,37.85,1378.82,59.20
-1175.51,25.25,1368.93,218.66
-1203.07,25.23,1369.08,191.24
-1227.66,25.22,1369.16,166.71
-1254.01,25.20,1369.48,140.67
-1280.24,25.18,1369.82,114.77
-1305.27,25.17,1369.89,89.79
-1329.75,25.15,1369.96,65.36
-1355.32,25.14,1370.01,39.84
-1186.10,38.03,1376.48,228.41
-1209.92,38.01,1376.68,204.77
-1231.84,37.99,1376.83,182.97
-1257.12,37.98,1376.96,157.82
-1282.21,37.96,1377.08,132.83
-1306.63,37.94,1377.19,108.50
-1331.63,37.93,1377.29,83.59
-1356.96,37.91,1377.40,58.36
-1181.99,37.92,1378.47,234.39
-1206.84,37.89,1378.62,209.67
-1230.83,37.88,1378.72,185.77
-1256.60,37.86,1378.81,160.07
-1281.75,37.85,1378.90,134.99
-1306.44,37.83,1378.99,110.38
-1331.45,37.82,1379.07,85.43
-1356.49,37.80,1379.15,60.46
-1182.35,37.82,1371.70,227.17
-1208.85,37.79,1372.05,201.00
-1233.78,37.78,1372.24,176.24
-1258.00,37.76,1372.37,152.14
-1283.29,37.75,1372.49,126.95
-1307.67,37.73,1372.60,102.67
-1332.31,37.72,1372.71,78.12
-1357.61,37.70,1372.82,52.91
-1199.59,24.42,1368.99,193.82
-1221.77,24.40,1369.69,172.32
-1243.96,24.39,1369.83,150.25
-1266.22,24.37,1369.96,128.11
-1288.39,24.36,1370.08,106.05
-1311.63,24.34,1370.19,82.90
-1335.35,24.32,1370.51,59.48
-1359.62,24.31,1370.63,35.32
-1191.34,37.82,1369.97,216.45
-1216.84,37.80,1370.03,190.99
-1241.92,37.78,1370.07,165.93
-1267.78,37.77,1370.12,140.10
-1292.91,37.75,1370.16,114.99
-1317.44,37.74,1370.20,90.49
-1337.25,37.72,1370.23,70.70
-1359.26,37.71,1370.27,48.72
-1213.92,37.96,1368.14,192.18
-1236.80,37.94,1368.73,169.87
-1256.06,37.92,1368.84,150.71
-1275.54,37.91,1369.04,131.41
-1297.70,37.89,1369.13,109.32
-1323.25,37.87,1369.20,83.83
-1343.11,37.86,1369.27,64.02
-1362.49,37.84,1369.34,44.70
-1192.25,38.02,1377.17,222.95
-1211.79,38.00,1377.35,203.56
-1231.60,37.99,1377.84,184.22
-1254.72,37.97,1377.96,161.21
-1279.27,37.95,1378.07,136.75
-1304.82,37.94,1378.17,111.29
-1329.22,37.92,1378.27,86.97
-1355.30,37.91,1378.35,60.96
-1176.76,24.96,1369.50,217.70
-1202.48,24.94,1369.71,192.17
-1226.44,24.93,1369.86,168.34
-1251.90,24.91,1370.19,143.20
-1277.56,24.89,1370.31,117.64
-1303.15,24.88,1370.42,92.15
-1329.05,24.86,1370.53,66.34
-1354.67,24.85,1370.63,40.82
-1178.11,24.89,1367.93,214.71
-1203.09,24.87,1368.04,189.82
-1228.30,24.85,1368.28,164.83
-1254.86,24.84,1368.34,138.31
-1280.63,24.82,1368.38,112.57
-1304.43,24.81,1368.42,88.80
