Time_offload,Time_process,Time_reply,Time_e2e
-1362.78,20.91,1370.54,28.67
-1349.65,4.02,1372.63,27.00
-1353.57,3.60,1370.49,20.52
-1357.87,3.55,1370.19,15.88
-1362.04,3.56,1370.07,11.59
-1363.66,3.57,1370.29,10.21
-1364.94,3.57,1372.87,11.49
-1364.29,3.58,1372.43,11.73
-1364.06,3.58,1372.36,11.88
-1365.27,3.56,1373.05,11.34
-1363.38,3.77,1371.68,12.07
-1364.84,3.63,1373.89,12.68
-1364.29,3.86,1376.37,15.94
-1361.55,4.79,1374.40,17.65
-1361.52,4.86,1374.88,18.23
-1361.50,4.83,1374.99,18.32
-1362.94,4.82,1374.09,15.97
-1363.87,4.62,1373.74,14.50
-1362.88,4.85,1372.13,14.09
-1364.47,4.04,1374.04,13.61
-1364.21,4.21,1373.43,13.43
-1364.36,4.14,1374.03,13.81
-1363.61,4.33,1375.41,16.13
-1362.10,4.84,1373.88,16.63
-1360.36,5.58,1370.42,15.64
-1363.78,3.80,1374.06,14.09
-1363.92,3.92,1374.52,14.52
-1363.44,4.23,1375.78,16.58
-1361.74,4.90,1373.65,16.81
-1361.34,5.21,1372.42,16.29
-1362.89,4.25,1374.56,15.92
-1362.84,4.54,1374.38,16.08
-1363.19,4.59,1374.15,15.55
-1363.83,4.46,1373.25,13.88
-1364.53,4.24,1373.24,12.96
-1364.75,4.05,1373.64,12.94
-1364.56,4.11,1373.22,12.77
-1364.90,4.03,1373.48,12.61
-1364.68,4.05,1373.31,12.67
-1364.78,4.03,1373.60,12.85
-1363.23,4.48,1371.72,12.96
-1364.54,3.91,1373.85,13.22
-1363.92,4.06,1374.79,14.93
-1363.00,4.51,1374.32,15.83
-1361.90,4.93,1371.73,14.76
-1363.81,4.08,1373.76,14.03
-1364.14,4.17,1374.12,14.16
-1363.61,4.26,1375.42,16.08
-1362.59,4.71,1375.59,17.71
-1361.97,5.18,1374.43,17.64
-1361.89,4.84,1375.80,18.75
-1361.20,5.20,1374.31,18.32
