Time_offload,Time_process,Time_reply,Time_e2e
-1358.69,25.93,1374.13,41.37
-1343.31,4.20,1371.60,32.49
-1348.13,3.56,1372.92,28.35
-1353.20,3.79,1371.41,22.00
-1357.31,3.61,1372.27,18.58
-1361.93,3.71,1371.27,13.05
-1365.45,3.53,1372.32,10.41
-1366.65,3.56,1372.52,9.42
-1366.85,3.54,1372.22,8.91
-1366.49,3.57,1371.62,8.69
-1367.00,3.52,1372.34,8.85
-1367.12,3.56,1372.36,8.80
-1366.87,3.56,1372.00,8.69
-1342.21,9.52,1371.67,38.98
-1338.35,4.48,1372.88,39.01
-1340.95,3.61,1371.15,33.81
-1344.84,3.57,1372.95,31.67
-1350.92,3.67,1371.83,24.58
-1356.91,3.57,1372.86,19.52
-1361.60,3.62,1371.52,13.55
-1365.98,3.56,1372.53,10.11
-1365.10,3.60,1371.68,10.18
-1366.25,3.63,1371.34,8.72
-1367.25,3.62,1372.55,8.92
-1366.82,3.58,1372.10,8.86
-1367.19,3.59,1372.16,8.56
-1367.13,3.59,1372.49,8.95
-1366.83,3.58,1372.22,8.97
-1367.12,3.58,1372.11,8.57
-1367.23,3.59,1372.34,8.70
-1367.10,3.60,1372.03,8.53
-1367.04,3.78,1371.76,8.51
-1366.47,3.60,1371.46,8.59
-1367.30,3.61,1372.36,8.67
-1367.16,3.61,1372.11,8.56
-1366.92,3.58,1372.03,8.69
-1366.94,3.59,1372.00,8.65
-1366.64,3.60,1371.53,8.49
-1367.11,3.60,1372.06,8.55
-1366.99,3.60,1371.97,8.58
-1367.09,3.58,1372.06,8.55
-1367.23,3.59,1372.22,8.58
-1366.73,3.59,1371.81,8.67
-1367.19,3.59,1372.31,8.70
-1367.00,3.58,1372.10,8.68
-1367.08,3.59,1372.21,8.71
-1367.00,3.60,1372.01,8.61
-1367.18,3.59,1372.26,8.67
-1366.87,3.58,1371.94,8.66
-1366.96,3.59,1371.91,8.54
-1367.15,3.62,1372.20,8.66
-1367.03,3.59,1371.92,8.48
-1366.25,3.59,1371.33,8.67
-1367.18,3.59,1372.25,8.65
-1367.10,3.59,1372.11,8.59
-1367.04,3.59,1372.09,8.64
-1367.29,3.61,1372.34,8.66
-1367.00,3.63,1372.22,8.85
-1366.84,3.58,1371.93,8.67
-1366.93,3.61,1372.11,8.78
-1366.88,3.60,1372.00,8.72
-1367.10,3.61,1372.20,8.72
-1366.49,3.58,1371.82,8.90
-1367.20,3.61,1372.34,8.74
