Time_offload,Time_process,Time_reply,Time_e2e
-1360.24,21.25,1379.40,40.41
-1347.88,3.99,1374.97,31.08
-1337.95,7.28,1374.01,43.34
-1338.35,3.84,1371.87,37.36
-1343.75,3.51,1372.10,31.86
-1348.26,3.53,1374.92,30.18
-1351.83,3.50,1372.09,23.76
-1355.11,3.55,1374.06,22.49
-1357.64,3.57,1372.08,18.01
-1360.01,3.55,1372.81,16.34
-1363.48,3.58,1375.08,15.17
-1366.21,3.55,1372.45,9.79
-1365.96,3.56,1373.06,10.65
-1367.61,3.57,1372.72,8.68
-1367.58,3.60,1372.20,8.22
-1367.81,3.56,1372.09,7.84
-1367.95,3.56,1373.38,8.99
-1366.35,3.57,1371.97,9.20
-1368.00,3.60,1372.20,7.80
-1367.80,3.56,1372.93,8.69
-1367.98,3.58,1373.06,8.66
-1367.62,3.59,1372.64,8.60
-1367.99,3.58,1372.90,8.49
-1367.37,3.59,1372.47,8.69
-1367.18,3.58,1372.31,8.72
-1366.25,3.62,1372.59,9.96
-1368.02,3.55,1372.51,8.04
-1367.98,3.56,1373.07,8.65
-1367.77,3.58,1372.72,8.52
-1366.39,3.58,1372.47,9.66
-1368.01,3.59,1372.18,7.76
-1368.13,3.58,1373.15,8.60
-1367.79,3.59,1372.84,8.64
-1367.77,3.59,1372.82,8.63
-1367.80,3.57,1372.90,8.66
-1367.79,3.58,1372.96,8.75
-1367.73,3.56,1372.90,8.73
-1366.50,3.57,1372.51,9.59
-1368.04,3.58,1373.23,8.77
-1367.94,3.59,1373.09,8.74
-1366.63,3.57,1371.94,8.88
-1366.23,3.59,1372.08,9.44
-1367.93,3.56,1372.74,8.36
-1367.71,3.58,1372.90,8.78
-1367.92,3.56,1373.35,8.99
-1367.92,3.61,1372.42,8.10
-1367.53,3.59,1371.97,8.03
-1368.01,3.60,1372.58,8.17
-1367.86,3.59,1372.55,8.28
-1367.91,3.60,1372.40,8.09
-1366.79,3.57,1372.35,9.14
-1367.90,3.56,1372.47,8.13
-1367.85,3.58,1372.89,8.63
-1367.62,3.60,1372.71,8.68
-1367.69,3.57,1372.79,8.66
-1367.74,3.57,1372.97,8.80
-1367.65,3.56,1373.49,9.40
-1365.87,3.59,1372.14,9.85
-1367.64,3.55,1372.40,8.31
-1367.65,3.57,1372.90,8.82
-1367.77,3.56,1372.91,8.69
-1367.73,3.57,1372.83,8.67
-1367.96,3.57,1372.98,8.59
-1367.40,3.58,1372.30,8.48
-1367.81,3.59,1372.83,8.61
-1367.79,3.57,1372.82,8.61
-1366.08,3.58,1372.21,9.70
-1368.00,3.56,1372.32,7.89
-1367.92,3.57,1373.04,8.68
-1367.80,3.59,1372.78,8.57
