Time_offload,Time_process,Time_reply,Time_e2e
13.21,58.38,2.75,74.35
1.84,38.63,1.05,41.52
1.59,38.69,1.07,41.35
1.58,38.68,1.15,41.40
1.94,41.36,1.14,44.44
1.75,39.00,1.27,42.02
1.66,38.44,1.07,41.16
1.59,37.57,1.08,40.24
1.58,39.78,1.09,42.46
1.61,37.93,1.06,40.60
1.61,37.93,1.14,40.68
1.63,40.31,1.56,43.51
2.01,38.18,1.08,41.27
1.62,38.18,1.08,40.88
1.59,38.15,1.63,41.37
1.57,38.68,1.08,41.33
1.58,38.04,1.10,40.72
1.68,44.21,1.08,46.98
1.63,37.78,1.05,40.47
1.58,38.07,1.27,40.91
1.67,40.22,1.12,43.01
1.65,39.41,1.29,42.35
1.64,38.04,1.08,40.75
1.59,38.99,1.15,41.73
1.58,38.56,1.08,41.22
1.69,38.02,1.11,40.81
1.59,38.16,1.09,40.84
1.59,37.93,1.08,40.61
1.59,38.11,1.09,40.79
1.59,37.91,1.09,40.59
1.60,37.65,1.13,40.38
1.85,41.91,1.20,44.96
1.98,42.17,1.18,45.33
1.87,41.98,1.17,45.02
1.74,39.85,1.58,43.17
1.66,39.21,1.10,41.97
1.57,38.03,1.72,41.32
1.58,38.65,1.08,41.31
1.60,38.03,1.07,40.70
1.64,38.48,1.10,41.22
1.62,37.98,1.07,40.67
1.58,38.24,1.10,40.93
1.57,37.99,1.08,40.64
1.58,38.34,1.30,41.22
1.65,38.21,1.10,40.96
1.59,38.29,1.09,40.97
1.58,38.01,1.74,41.33
1.57,38.64,1.07,41.28
1.58,38.07,1.09,40.74
1.56,38.22,1.08,40.86
1.63,38.02,1.14,40.78
1.57,37.87,1.10,40.54
1.58,38.30,1.09,40.96
1.58,40.24,2.47,44.29
1.70,39.23,1.15,42.09
1.63,38.32,1.11,41.06
1.65,38.92,1.10,41.67
1.59,38.19,1.11,40.89
1.59,38.08,1.08,40.75
1.59,37.91,1.09,40.59
1.59,38.38,1.06,41.04
1.59,39.04,1.11,41.74
1.96,40.89,1.09,43.94
1.64,38.43,1.09,41.16
1.61,38.51,1.20,41.31
1.95,42.13,1.45,45.53
2.02,40.82,1.12,43.95
1.87,38.27,1.60,41.74
1.57,38.69,1.09,41.35
1.60,37.93,1.07,40.59
1.60,38.26,1.09,40.96
1.57,37.82,1.09,40.48
1.95,39.95,1.08,42.98
1.64,38.05,1.20,40.89
1.80,41.23,1.07,44.10
1.65,37.72,1.10,40.47
1.61,38.49,1.10,41.19
1.58,38.45,1.08,41.11
1.59,38.35,1.07,41.00
1.59,38.14,1.09,40.82
1.59,38.34,1.66,41.59
1.60,38.65,1.09,41.34
1.57,38.25,1.09,40.90
1.58,38.73,1.06,41.37
1.58,41.33,1.11,44.02
1.62,37.81,1.06,40.49
1.58,38.01,1.09,40.68
1.73,38.81,1.06,41.60
1.58,38.65,1.84,42.07
1.57,38.42,1.09,41.08
1.57,37.90,1.08,40.56
1.59,37.74,1.09,40.42
1.59,38.45,1.04,41.08
1.58,38.47,1.10,41.15
1.58,41.16,1.16,43.90
1.74,38.96,1.09,41.79
1.59,38.51,1.69,41.80
1.59,38.50,1.11,41.20
1.57,38.25,1.10,40.92
1.60,37.70,1.12,40.42
1.61,38.01,1.16,40.79
1.60,37.66,1.09,40.35
1.58,38.28,1.08,40.94
1.57,38.06,1.10,40.72
1.66,38.22,1.10,40.98
1.58,37.82,1.08,40.48
1.59,37.84,1.11,40.53
1.59,38.63,1.11,41.33
2.20,38.88,1.07,42.15
1.57,38.37,1.71,41.65
1.95,41.97,1.44,45.37
1.74,39.30,1.18,42.22
1.70,38.61,1.07,41.38
1.66,39.44,1.11,42.21
1.61,37.85,1.09,40.54
1.62,38.09,1.11,40.82
1.61,37.74,1.08,40.42
1.59,38.58,1.21,41.38
1.68,41.22,2.74,45.64
1.70,38.19,1.10,40.99
1.59,38.19,1.11,40.89
1.60,38.13,1.10,40.83
1.63,38.23,1.63,41.50
1.57,41.90,1.70,45.18
1.96,39.41,1.09,42.46
1.58,38.07,1.07,40.72
1.62,38.44,1.68,41.74
1.57,38.55,1.09,41.21
1.57,38.17,1.08,40.82
1.58,37.92,1.10,40.60
1.58,38.17,1.14,40.89
1.63,37.88,1.11,40.62
1.57,37.95,1.10,40.62
1.57,38.10,1.10,40.76
1.59,37.84,1.09,40.52
1.60,37.91,1.10,40.61
1.57,37.74,1.11,40.43
1.60,38.02,1.09,40.72
1.58,37.82,1.13,40.52
1.57,37.87,1.09,40.53
1.59,38.15,1.18,40.91
1.67,41.42,1.59,44.68
1.68,37.97,1.12,40.77
1.57,37.64,1.09,40.29
1.58,38.44,1.09,41.11
1.60,38.52,1.63,41.75
1.57,38.34,1.07,40.98
1.59,38.85,1.34,41.78
1.98,41.04,1.05,44.08
1.64,37.95,1.10,40.69
1.57,38.48,1.62,41.67
1.58,38.53,1.10,41.21
1.60,39.43,1.13,42.16
2.35,53.51,3.23,59.09
1.83,38.59,1.10,41.52
1.58,41.70,1.78,45.06
1.69,45.57,1.48,48.75
1.68,39.26,1.08,42.01
1.60,38.03,1.13,40.76
1.58,37.95,1.10,40.63
1.57,38.15,1.10,40.82
1.57,37.98,1.11,40.67
1.60,37.96,1.11,40.67
1.57,40.04,1.62,43.24
1.70,39.10,1.16,41.96
1.57,37.82,1.10,40.49
1.57,37.92,1.09,40.58
1.60,38.01,1.09,40.69
1.58,38.09,1.09,40.75
1.57,38.52,1.09,41.19
1.66,38.23,1.08,40.96
1.60,38.03,1.08,40.72
1.60,38.33,1.71,41.63
1.58,38.53,1.08,41.19
1.58,39.40,1.50,42.47
1.67,38.30,1.10,41.07
1.60,38.21,1.13,40.93
1.60,38.22,1.09,40.92
1.61,38.31,1.11,41.03
1.60,38.57,1.07,41.24
1.58,37.93,1.12,40.62
1.57,38.00,1.13,40.70
1.60,37.89,1.09,40.58
1.59,38.01,1.13,40.73
1.58,40.17,1.54,43.29
1.71,39.44,1.18,42.33
1.59,38.01,1.09,40.70
1.60,38.66,1.08,41.35
1.60,38.21,1.07,40.88
1.58,38.67,1.10,41.36
1.74,38.90,1.10,41.74
1.59,40.63,1.16,43.37
1.64,38.76,1.09,41.50
1.62,38.02,1.07,40.71
1.57,38.29,1.09,40.95
1.58,38.21,1.08,40.86
1.58,38.10,1.08,40.76
1.57,38.33,1.08,40.98
1.59,37.86,1.09,40.53
1.57,37.87,1.09,40.53
