Time_offload,Time_process,Time_reply,Time_e2e
1.61,5132.53,2.31,5136.45
1.79,3.87,0.35,6.00
11.87,9.72,0.46,22.05
12.62,10.82,0.42,23.86
1.61,3.79,0.33,5.73
12.62,10.95,0.51,24.07
4.06,11.25,0.71,16.02
12.54,10.27,0.46,23.27
12.59,10.13,0.46,23.18
12.63,10.11,0.49,23.22
12.51,10.15,0.44,23.10
12.51,10.22,0.45,23.19
12.53,10.19,0.46,23.17
4.36,11.80,0.75,16.91
12.30,10.13,0.48,22.92
1.56,3.78,0.33,5.67
12.58,10.59,0.47,23.64
12.44,9.99,0.43,22.86
12.46,10.07,0.48,23.01
12.45,10.70,0.50,23.65
1.66,4.46,0.49,6.60
1.76,4.71,0.48,6.96
12.60,10.81,0.52,23.93
12.42,9.91,0.50,22.82
12.41,9.81,0.46,22.68
12.48,9.84,0.47,22.80
12.39,9.80,0.46,22.65
12.50,9.79,0.45,22.74
12.48,9.98,0.44,22.90
1.58,4.06,0.38,6.02
1.86,4.56,0.43,6.86
6.39,3.84,0.32,10.56
10.90,11.62,0.50,23.02
12.41,9.83,0.45,22.68
12.50,10.02,0.47,22.98
12.57,9.82,0.44,22.83
11.18,8.17,0.41,19.76
4.41,11.46,0.65,16.52
12.51,10.34,0.47,23.32
12.52,10.18,0.47,23.17
9.81,11.50,0.58,21.88
12.42,9.97,0.48,22.88
12.22,9.58,0.47,22.28
12.51,10.26,0.44,23.21
12.44,10.03,0.46,22.94
1.57,3.98,0.38,5.93
3.06,5.17,0.52,8.75
12.68,11.03,0.51,24.22
1.79,3.84,0.34,5.98
12.62,10.54,0.47,23.63
12.59,9.95,0.46,23.00
12.34,9.86,0.43,22.63
12.47,7.20,0.31,19.99
2.05,4.51,0.45,7.01
12.59,10.52,0.47,23.57
12.56,9.82,0.46,22.84
12.49,10.18,0.47,23.14
12.66,10.23,0.45,23.34
12.47,9.88,0.44,22.79
6.61,6.53,0.47,13.62
1.78,4.70,0.53,7.00
6.11,4.54,0.44,11.09
2.43,4.53,0.47,7.43
1.71,4.91,0.60,7.22
6.33,3.91,0.34,10.58
2.51,7.76,0.77,11.04
12.66,10.73,0.45,23.85
12.57,10.14,0.43,23.14
12.57,10.19,0.46,23.22
1.55,3.66,0.32,5.53
1.84,6.25,0.73,8.82
12.57,10.59,0.47,23.63
12.53,10.15,0.43,23.12
12.56,10.27,0.44,23.27
1.64,4.99,0.71,7.35
12.80,10.67,0.49,23.96
12.48,10.01,0.45,22.94
12.47,10.15,0.45,23.07
12.51,9.88,0.38,22.77
5.97,7.32,0.54,13.83
12.72,10.85,0.54,24.11
12.59,10.04,0.45,23.08
4.86,11.52,0.59,16.98
12.53,10.19,0.45,23.18
12.60,10.24,0.43,23.26
12.53,10.25,0.45,23.23
12.67,10.14,0.43,23.24
1.54,3.64,0.31,5.49
5.32,4.54,0.43,10.28
