Time_offload,Time_process,Time_reply,Time_e2e
1.63,0.79,0.12,2.54
3.04,1.49,0.23,4.75
6.60,1.83,0.25,8.68
6.06,1.66,0.23,7.94
5.74,1.57,0.21,7.51
5.55,1.60,0.20,7.36
5.44,1.53,0.21,7.17
1.53,0.62,0.10,2.24
5.37,1.76,0.24,7.37
5.72,1.61,0.22,7.55
5.48,1.54,0.22,7.24
5.47,1.53,0.21,7.21
5.37,1.54,0.21,7.11
5.40,1.51,0.21,7.13
1.54,0.62,0.09,2.24
1.55,0.62,0.09,2.27
1.50,0.63,0.09,2.22
3.77,1.84,0.26,5.87
6.05,1.72,0.23,8.00
5.73,1.63,0.22,7.58
5.58,1.60,0.21,7.39
5.50,1.54,0.21,7.25
5.47,1.51,0.21,7.19
5.46,1.55,0.21,7.22
5.46,1.56,0.21,7.23
5.50,1.54,0.21,7.25
5.42,1.58,0.22,7.22
5.80,1.51,0.20,7.50
5.27,1.53,0.20,6.99
5.29,1.56,0.20,7.05
5.42,1.52,0.20,7.14
5.38,1.51,0.21,7.10
5.42,1.52,0.22,7.17
5.43,1.53,0.21,7.17
5.61,1.51,0.21,7.34
1.53,0.62,0.09,2.24
1.53,0.62,0.09,2.23
1.52,0.62,0.10,2.24
1.54,0.65,0.10,2.29
2.76,1.27,0.22,4.24
6.50,1.92,0.25,8.68
6.08,1.67,0.22,7.98
5.72,1.60,0.22,7.54
5.60,1.54,0.21,7.35
5.50,1.56,0.20,7.26
5.50,1.53,0.20,7.24
5.42,1.49,0.21,7.12
5.37,1.54,0.20,7.11
5.49,1.49,0.20,7.18
5.36,1.49,0.20,7.05
5.40,1.57,0.20,7.17
5.32,1.56,0.20,7.08
5.30,1.57,0.20,7.08
5.36,1.48,0.21,7.06
5.38,1.56,0.21,7.15
5.45,1.55,0.21,7.21
3.06,1.01,0.14,4.21
1.59,0.65,0.10,2.35
3.01,1.31,0.20,4.52
6.43,1.82,0.24,8.50
5.91,2.11,0.23,8.25
5.44,1.55,0.21,7.20
5.41,1.56,0.22,7.18
5.45,1.54,0.22,7.20
5.42,1.56,0.21,7.19
5.50,1.50,0.21,7.21
5.42,1.52,0.22,7.16
5.44,1.51,0.22,7.17
5.42,1.59,0.21,7.22
5.38,1.54,0.21,7.13
5.49,1.53,0.20,7.22
5.30,0.64,0.09,6.03
6.01,1.65,0.22,7.88
1.80,0.64,0.09,2.53
2.34,1.12,0.17,3.63
6.21,1.84,0.25,8.31
5.95,1.72,0.22,7.88
5.70,1.61,0.21,7.52
5.49,1.53,0.20,7.22
5.46,1.53,0.20,7.19
5.44,1.58,0.22,7.25
5.47,1.54,0.21,7.22
5.38,1.59,0.21,7.17
5.41,1.55,0.21,7.17
5.35,1.51,0.20,7.06
5.39,1.54,0.21,7.15
5.46,1.57,0.20,7.23
5.38,1.58,0.21,7.17
5.46,1.55,0.20,7.21
5.37,1.52,0.21,7.10
1.52,0.63,0.09,2.24
1.60,0.62,0.09,2.31
2.06,0.94,0.14,3.14
6.00,2.15,0.27,8.42
5.73,1.65,0.22,7.60
5.65,1.56,0.21,7.41
5.55,1.55,0.22,7.31
5.45,1.50,0.21,7.15
5.44,1.58,0.21,7.23
5.41,1.49,0.21,7.11
