Time_offload,Time_process,Time_reply,Time_e2e
6.82,400.62,2.55,410.00
1.75,53.26,1.55,56.56
9.01,59.07,1.60,69.68
7.42,60.35,1.65,69.43
2.27,57.32,1.54,61.13
7.14,58.99,1.55,67.67
7.32,58.22,1.54,67.08
7.63,58.49,1.62,67.74
7.67,58.63,1.58,67.88
6.80,58.12,1.58,66.50
7.60,58.90,1.61,68.12
7.34,58.56,1.58,67.48
7.71,60.53,1.62,69.85
1.58,54.05,1.58,57.21
7.26,59.94,1.61,68.81
7.13,58.27,1.59,66.99
7.72,59.03,1.63,68.38
7.30,58.36,1.62,67.28
7.70,59.01,1.59,68.31
7.38,58.40,1.61,67.40
7.64,58.58,1.58,67.80
7.79,60.10,1.62,69.51
2.01,55.55,1.72,59.27
6.03,59.80,1.66,67.49
6.94,59.00,1.60,67.53
1.68,56.76,1.65,60.09
8.28,59.11,1.63,69.03
7.41,58.76,1.62,67.79
7.62,59.01,1.60,68.23
7.41,58.53,1.73,67.67
1.72,56.52,1.55,59.80
6.77,59.49,1.51,67.76
6.70,58.26,1.56,66.52
6.74,59.28,1.65,67.68
7.41,58.66,1.66,67.73
7.75,58.57,1.64,67.96
7.72,58.84,1.61,68.17
7.54,59.24,1.78,68.57
7.33,58.43,1.59,67.35
7.45,58.12,1.57,67.13
7.67,58.38,1.55,67.60
1.57,55.19,1.67,58.43
2.08,56.05,1.59,59.72
8.10,58.91,1.62,68.63
7.45,58.68,1.62,67.76
7.80,58.78,1.68,68.25
7.61,60.63,1.56,69.80
1.54,53.72,1.60,56.86
9.27,59.47,1.57,70.32
1.57,53.55,1.55,56.67
9.29,60.13,1.62,71.04
7.01,58.66,1.61,67.28
7.71,59.62,1.67,69.01
7.38,58.96,1.69,68.03
7.41,59.52,1.74,68.67
1.58,54.48,1.60,57.67
9.05,59.99,1.60,70.64
7.10,59.36,1.61,68.07
1.59,54.52,1.66,57.77
9.08,59.59,1.64,70.31
7.45,59.64,1.64,68.73
7.41,61.01,1.82,70.24
6.03,58.21,1.62,65.87
6.84,60.24,1.56,68.64
1.58,54.73,1.61,57.92
8.40,58.70,1.60,68.69
7.78,59.32,1.55,68.65
1.62,54.40,1.64,57.67
9.03,59.48,1.65,70.16
7.49,59.13,1.65,68.27
7.43,59.29,1.69,68.41
7.34,58.95,1.65,67.95
5.18,56.96,1.55,63.69
7.23,60.30,1.58,69.12
1.66,55.31,1.66,58.64
8.82,59.37,1.68,69.87
7.45,59.13,1.60,68.18
7.32,59.10,1.69,68.11
7.39,58.97,1.66,68.02
1.72,54.19,1.55,57.46
9.27,61.33,1.84,72.44
1.79,61.57,1.61,64.97
6.49,58.67,1.69,66.85
7.70,58.90,1.61,68.22
7.41,58.83,1.66,67.90
7.73,58.94,1.61,68.28
7.27,58.99,1.62,67.88
7.33,59.87,1.73,68.93
6.84,58.79,1.62,67.25
7.55,59.72,1.64,68.91
1.56,54.95,1.68,58.19
8.87,59.45,1.03,69.35
7.38,58.50,1.63,67.51
7.62,59.19,1.67,68.47
7.32,58.63,1.66,67.61
5.95,58.30,1.60,65.85
1.58,53.91,0.98,56.47
9.28,59.76,1.59,70.63
7.26,58.83,1.68,67.77
1.64,55.10,1.61,58.35
