Time_offload,Time_process,Time_reply,Time_e2e
6.34,403.72,2.53,412.59
1.74,53.43,0.99,56.16
9.16,56.38,1.01,66.54
8.66,57.50,1.16,67.31
8.23,55.50,1.01,64.74
8.89,55.91,0.98,65.78
8.88,56.00,1.00,65.88
8.88,56.71,1.06,66.65
8.55,56.13,1.04,65.72
7.90,50.92,1.02,59.83
9.99,56.28,1.01,67.27
8.93,55.78,0.99,65.69
8.82,55.93,0.99,65.74
8.90,55.87,0.98,65.74
8.82,56.12,1.05,66.00
1.65,52.19,0.97,54.81
9.87,56.66,1.04,67.57
8.53,56.17,1.04,65.74
1.59,50.95,0.96,53.50
9.98,56.45,0.99,67.41
8.57,55.86,0.97,65.40
8.86,55.82,0.99,65.68
3.68,58.95,1.08,63.72
2.05,52.64,1.16,55.86
4.75,53.87,0.99,59.62
9.43,56.05,0.99,66.47
8.66,71.94,1.15,81.75
3.76,52.67,0.98,57.42
9.86,56.21,1.05,67.12
8.88,55.99,1.00,65.88
8.91,56.07,1.06,66.04
8.82,58.58,1.48,68.88
5.35,60.54,1.31,67.20
6.43,54.86,1.02,62.31
8.88,56.29,1.01,66.18
8.78,71.76,1.10,81.64
3.75,52.61,0.97,57.32
9.80,56.75,0.98,67.54
8.60,56.08,0.95,65.63
8.88,55.90,1.01,65.79
8.95,59.14,1.49,69.58
5.64,61.97,1.39,69.00
5.87,54.23,1.01,61.11
9.42,56.48,1.06,66.96
8.36,74.65,2.54,85.55
2.78,51.42,0.97,55.17
9.89,56.55,1.00,67.44
8.53,55.89,1.04,65.46
8.86,55.99,1.04,65.89
8.91,56.64,1.36,66.91
4.69,57.18,1.01,62.88
8.60,56.20,0.99,65.79
8.83,56.19,1.00,66.03
8.82,56.76,1.06,66.65
8.52,56.02,0.97,65.51
8.91,56.24,1.03,66.18
8.80,56.34,0.98,66.12
8.83,56.01,1.01,65.84
8.87,56.37,1.01,66.25
8.92,56.48,1.01,66.41
8.67,57.23,1.26,67.17
1.73,55.62,1.03,58.38
8.44,55.70,0.97,65.12
8.26,55.65,0.96,64.87
8.34,55.55,1.03,64.92
8.34,55.58,0.99,64.91
8.23,53.06,1.06,62.35
1.58,50.92,1.04,53.54
10.21,55.43,1.04,66.68
8.65,55.93,0.96,65.55
1.73,50.97,1.03,53.73
9.87,56.35,1.00,67.22
8.39,55.92,0.99,65.30
5.77,55.63,1.00,62.40
8.93,56.01,0.98,65.91
1.72,50.88,0.97,53.57
9.72,56.83,0.95,67.51
8.32,55.88,1.01,65.20
1.57,50.64,0.98,53.19
10.06,56.58,1.04,67.68
5.08,52.79,1.03,58.89
7.18,55.83,1.05,64.06
8.65,55.83,0.99,65.47
8.66,56.67,1.00,66.33
8.09,55.67,1.08,64.84
7.99,56.07,0.98,65.04
8.75,55.85,0.98,65.58
1.53,50.80,0.97,53.30
10.04,56.48,1.05,67.58
8.28,55.61,0.99,64.88
8.71,55.72,0.99,65.43
8.89,56.20,1.00,66.09
8.83,55.49,1.01,65.33
8.69,56.12,1.00,65.80
8.70,55.82,1.00,65.52
8.67,55.88,0.99,65.54
9.35,55.56,0.96,65.88
1.66,50.89,1.03,53.57
9.88,56.36,1.09,67.34
8.40,56.93,1.13,66.46
