Time_offload,Time_process,Time_reply,Time_e2e
4.51,407.62,2.59,414.72
1.79,54.19,1.59,57.57
6.59,55.18,1.63,63.40
7.16,54.27,1.57,62.99
6.58,54.07,1.62,62.27
6.11,55.62,1.64,63.38
6.68,54.22,1.53,62.44
6.90,53.47,1.58,61.95
6.53,54.19,1.64,62.35
6.46,53.91,1.60,61.97
6.50,53.81,1.60,61.91
6.89,53.77,1.55,62.21
6.68,54.25,1.64,62.58
6.29,54.15,1.61,62.05
6.66,54.30,1.56,62.52
6.23,54.08,1.58,61.89
6.49,54.16,1.66,62.31
6.41,53.95,1.68,62.03
6.17,54.37,1.55,62.10
1.67,54.32,1.60,57.58
7.02,54.27,1.64,62.94
4.29,56.35,1.59,62.24
6.29,54.54,1.64,62.47
6.82,54.02,1.68,62.53
6.12,53.89,1.61,61.62
6.21,53.95,1.63,61.79
7.15,54.35,1.72,63.22
6.28,53.99,1.66,61.92
6.31,54.26,1.59,62.17
6.73,53.78,1.56,62.07
6.26,54.40,1.74,62.41
6.84,54.28,1.67,62.80
5.93,54.41,1.66,61.99
1.80,55.74,1.71,59.25
12.59,60.63,1.68,74.91
3.00,58.65,1.72,63.36
6.54,54.46,1.64,62.63
6.81,54.45,1.73,63.00
6.11,55.17,1.73,63.02
6.15,54.13,1.62,61.90
6.66,54.26,1.57,62.49
6.21,54.16,1.75,62.12
6.50,54.76,1.71,62.97
6.41,54.04,1.53,61.97
6.67,54.25,1.55,62.47
6.38,54.38,1.71,62.47
6.07,54.81,1.89,62.77
6.72,54.19,1.64,62.56
6.93,53.93,1.62,62.47
6.26,54.41,1.74,62.41
6.72,54.33,1.73,62.78
6.77,54.08,1.53,62.38
6.82,53.86,1.56,62.23
6.11,54.83,1.72,62.66
6.90,54.51,1.73,63.14
1.71,54.43,1.55,57.69
7.50,64.47,1.85,73.82
6.80,54.41,1.74,62.96
6.57,54.74,1.84,63.15
1.66,54.12,1.63,57.40
6.43,54.49,1.78,62.70
6.54,54.10,1.79,62.43
13.09,63.06,1.58,77.73
6.29,53.62,1.54,61.45
1.74,56.84,1.82,60.40
6.38,54.67,1.93,62.98
6.51,54.33,1.61,62.45
6.23,54.15,1.57,61.96
6.74,53.92,1.76,62.42
6.05,54.49,1.77,62.31
6.24,53.82,1.58,61.64
1.59,55.76,1.67,59.03
4.93,56.89,1.77,63.59
6.31,56.27,1.71,64.30
3.20,55.82,1.69,60.71
6.39,54.70,1.79,62.88
5.96,54.80,1.73,62.49
6.13,54.19,1.59,61.90
6.44,54.57,1.60,62.60
6.42,54.83,1.72,62.97
6.13,56.50,1.84,64.47
6.71,54.68,1.59,62.98
6.90,54.12,1.59,62.60
1.67,58.29,1.71,61.66
6.10,54.59,1.78,62.48
2.22,57.74,1.57,61.53
6.84,53.98,1.59,62.41
6.50,55.05,1.75,63.30
6.06,55.59,1.74,63.40
6.59,54.85,1.60,63.03
6.90,53.99,1.59,62.47
6.64,55.08,1.75,63.48
6.72,54.34,1.81,62.88
6.22,54.59,1.58,62.39
6.14,54.28,1.65,62.06
6.60,54.65,1.77,63.02
6.58,55.95,1.77,64.30
6.85,54.25,1.66,62.76
6.82,54.38,1.56,62.76
6.90,54.75,1.77,63.43
