Time_offload,Time_process,Time_reply,Time_e2e
13.35,414.60,2.58,430.54
1.77,54.18,1.52,57.48
1.67,54.23,1.67,57.57
4.14,56.55,1.72,62.41
3.42,55.51,1.66,60.59
3.91,55.96,1.71,61.58
3.89,56.78,1.72,62.39
3.50,55.45,1.76,60.71
2.43,54.77,1.56,58.76
2.98,56.15,1.57,60.71
3.96,55.95,1.61,61.52
3.95,56.02,1.58,61.55
1.56,62.03,2.26,65.85
1.97,54.73,1.73,58.43
3.87,58.88,2.19,64.95
2.08,54.09,1.72,57.89
4.75,55.53,1.72,62.00
3.76,56.15,1.71,61.61
3.90,58.08,1.68,63.66
3.15,55.41,1.70,60.26
3.99,56.24,1.68,61.91
3.93,55.96,1.67,61.56
3.90,56.37,1.69,61.95
3.43,55.71,1.73,60.87
3.82,56.10,1.71,61.63
3.83,56.24,1.72,61.80
3.76,56.28,1.72,61.77
3.89,56.16,1.67,61.72
3.79,57.57,1.68,63.04
3.12,55.67,1.74,60.53
3.88,56.08,1.78,61.74
3.86,56.63,1.68,62.17
3.35,55.44,1.74,60.53
3.68,55.62,1.69,61.00
3.84,56.52,1.70,62.06
3.44,55.65,1.69,60.78
2.48,56.73,1.68,60.89
3.35,56.07,1.71,61.12
3.85,56.48,1.67,62.00
3.43,57.38,1.77,62.58
3.21,55.91,1.69,60.81
3.81,55.95,1.67,61.43
3.81,56.41,1.71,61.92
3.47,55.85,1.92,61.24
3.75,56.25,1.72,61.72
3.94,56.41,1.70,62.05
3.42,56.34,1.77,61.52
3.41,55.69,1.74,60.84
3.82,56.13,1.72,61.67
3.81,56.08,1.79,61.68
3.95,56.15,1.57,61.67
1.59,53.91,1.53,57.03
1.60,54.51,1.73,57.84
3.82,56.30,1.73,61.86
3.39,56.02,1.71,61.12
3.90,56.32,1.69,61.92
3.85,56.38,1.67,61.90
3.37,55.56,1.74,60.67
3.81,57.64,1.59,63.05
1.58,55.44,1.62,58.63
3.93,56.69,1.61,62.24
3.40,55.78,1.62,60.80
2.75,56.45,1.71,60.91
3.39,55.84,1.69,60.91
3.77,56.09,1.83,61.69
3.85,55.91,1.68,61.44
3.84,56.45,1.72,62.01
3.38,55.95,1.80,61.13
2.31,56.44,1.63,60.38
3.85,55.84,1.56,61.25
3.93,55.94,1.57,61.44
3.82,55.51,1.59,60.92
1.57,54.31,1.56,57.44
4.15,56.89,1.71,62.75
3.37,55.97,1.69,61.03
3.68,56.47,1.73,61.87
3.38,55.90,1.71,60.99
3.82,56.23,1.73,61.77
3.86,57.73,1.73,63.31
3.22,56.11,1.79,61.12
3.97,56.65,1.69,62.32
3.50,55.64,1.74,60.89
3.84,56.35,1.71,61.90
3.41,56.47,1.68,61.56
3.38,55.42,1.68,60.48
3.77,55.87,1.65,61.29
3.88,56.66,1.76,62.30
3.41,55.65,1.68,60.74
3.86,56.31,1.71,61.87
3.82,55.92,1.78,61.51
3.81,56.12,1.73,61.66
3.03,56.19,1.68,60.91
3.84,56.26,1.69,61.79
3.91,56.21,1.71,61.83
3.85,56.15,1.71,61.71
3.83,55.83,1.71,61.37
3.89,56.22,1.72,61.84
3.84,55.86,1.63,61.33
3.83,56.02,1.61,61.46
3.91,55.92,1.58,61.41
