Time_offload,Time_process,Time_reply,Time_e2e
13.45,417.35,2.59,433.39
1.76,53.45,3.13,58.34
1.79,53.82,3.09,58.69
1.76,70.40,3.22,75.37
1.85,52.58,3.16,57.59
1.79,52.83,3.17,57.79
1.77,52.22,3.17,57.16
1.77,52.76,3.19,57.72
1.77,52.25,3.20,57.22
1.79,52.62,3.14,57.55
1.76,52.58,3.19,57.53
1.75,53.86,3.18,58.79
1.77,52.85,3.96,58.59
2.00,54.01,3.14,59.15
1.79,52.39,3.11,57.29
1.75,52.57,3.14,57.46
1.80,52.42,3.26,57.48
1.79,53.12,3.14,58.05
1.78,53.01,3.14,57.93
1.75,53.66,2.59,58.01
1.84,53.11,3.15,58.11
1.75,53.05,3.22,58.02
1.77,52.30,3.18,57.26
1.76,53.02,3.24,58.03
1.81,52.57,3.26,57.63
1.82,52.86,3.20,57.88
1.77,52.40,3.19,57.36
1.75,53.61,3.20,58.57
1.78,53.00,3.37,58.15
1.83,54.03,3.16,59.02
1.78,52.54,3.21,57.53
1.76,52.62,3.10,57.48
1.78,52.39,3.22,57.40
1.77,53.19,3.22,58.18
1.77,52.60,3.22,57.59
1.79,54.12,3.36,59.27
1.81,53.35,3.18,58.35
1.77,52.99,3.18,57.94
1.77,52.50,3.20,57.48
1.77,52.96,3.25,57.98
1.78,53.15,3.21,58.14
1.75,53.32,3.31,58.38
1.77,54.66,3.16,59.59
1.77,53.13,3.15,58.05
1.76,52.43,3.15,57.34
1.78,52.93,3.17,57.89
1.78,52.37,3.15,57.30
1.76,52.53,3.20,57.49
1.77,52.66,3.15,57.58
1.78,54.07,3.26,59.11
1.77,52.78,3.32,57.88
1.78,52.85,3.22,57.86
1.76,52.65,3.29,57.70
1.76,52.80,3.24,57.80
1.78,52.70,3.25,57.73
1.81,53.04,3.19,58.03
1.76,52.75,3.20,57.71
1.77,52.78,3.24,57.79
1.76,54.30,3.27,59.32
1.78,53.11,3.19,58.08
1.79,52.74,3.20,57.73
1.75,52.92,3.24,57.92
1.75,53.00,3.20,57.95
1.76,52.82,3.18,57.76
1.75,52.92,3.29,57.96
1.77,53.19,3.20,58.15
1.77,52.94,3.20,57.91
1.78,52.93,3.25,57.95
1.83,52.97,3.22,58.02
1.79,53.29,3.22,58.30
1.79,52.80,3.25,57.83
1.80,53.50,3.27,58.56
1.82,54.31,3.45,59.58
1.88,53.21,3.05,58.14
1.77,52.60,3.13,57.50
1.79,52.98,3.11,57.87
1.76,53.04,3.12,57.92
1.78,52.65,3.17,57.60
1.76,52.57,3.12,57.45
1.77,52.96,3.09,57.82
1.76,53.01,3.25,58.02
1.81,52.92,3.31,58.05
1.79,52.84,3.25,57.88
1.78,53.04,3.26,58.08
1.80,52.73,3.20,57.73
1.77,52.78,3.23,57.77
1.81,52.71,3.18,57.70
1.78,52.88,3.16,57.81
1.78,53.04,3.39,58.20
1.81,53.11,3.08,58.01
1.78,52.36,3.08,57.23
1.79,53.27,3.14,58.21
1.81,52.42,3.04,57.27
1.76,52.42,3.08,57.26
1.76,52.50,3.09,57.35
1.77,53.43,3.24,58.43
1.78,52.96,3.21,57.96
1.76,52.87,3.19,57.83
1.76,52.59,3.31,57.67
1.78,53.27,1.71,56.76
