Time_offload,Time_process,Time_reply,Time_e2e
11.58,408.69,2.60,422.87
1.81,53.87,2.55,58.23
1.79,50.11,2.45,54.35
1.74,50.19,2.50,54.43
1.78,48.91,2.47,53.16
1.75,49.69,2.45,53.89
1.72,49.37,2.44,53.54
1.72,49.97,2.58,54.27
1.82,49.14,2.45,53.41
1.74,49.00,2.49,53.23
1.77,49.00,2.46,53.23
1.74,49.09,2.59,53.43
1.84,49.61,2.45,53.90
1.73,48.86,2.47,53.06
1.76,49.05,2.48,53.29
1.74,49.12,2.52,53.39
1.77,49.53,2.47,53.77
1.74,49.43,2.48,53.65
1.73,50.58,2.47,54.78
1.76,49.56,2.48,53.79
1.74,49.21,2.45,53.40
1.74,49.14,2.49,53.38
1.77,48.94,2.47,53.18
1.74,50.59,2.80,55.13
1.90,53.98,2.52,58.41
1.79,54.42,2.67,58.88
1.81,49.45,2.46,53.72
1.72,49.75,2.47,53.94
1.73,49.37,2.44,53.54
1.73,49.46,2.45,53.64
1.78,49.32,2.52,53.61
1.73,49.42,2.44,53.59
1.72,49.24,2.46,53.42
1.74,49.11,2.43,53.28
1.71,49.35,2.51,53.57
1.74,49.51,2.54,53.79
1.76,50.09,2.51,54.36
1.75,49.88,2.44,54.08
1.72,49.26,2.45,53.43
1.74,49.31,2.46,53.50
1.74,49.66,2.43,53.83
1.71,49.44,2.48,53.62
1.72,49.30,2.43,53.46
1.73,49.59,2.48,53.80
1.72,49.00,2.49,53.21
1.76,49.75,2.47,53.99
1.77,49.41,2.50,53.68
1.73,49.56,2.50,53.79
1.72,49.47,2.46,53.65
1.73,49.53,2.52,53.78
1.81,49.22,2.47,53.50
1.74,49.69,2.50,53.93
1.80,49.42,2.50,53.72
1.76,50.48,2.61,54.86
1.81,49.98,2.53,54.31
1.76,49.58,2.51,53.85
1.73,49.13,2.43,53.28
1.72,49.89,2.49,54.11
1.73,49.53,2.48,53.73
1.76,49.54,2.45,53.75
1.75,49.70,2.51,53.96
1.75,49.57,2.44,53.76
1.72,49.62,2.51,53.85
1.76,49.35,2.46,53.58
1.76,49.97,2.86,54.60
1.87,49.76,2.51,54.14
1.77,49.12,2.51,53.40
1.74,49.64,2.45,53.83
1.73,49.42,2.47,53.61
1.73,49.19,2.49,53.41
1.78,49.77,2.63,54.18
1.81,50.06,2.49,54.35
1.76,49.16,2.45,53.37
1.72,49.60,2.50,53.82
1.72,49.22,2.47,53.41
1.75,49.30,2.53,53.59
1.77,49.47,2.43,53.67
1.73,49.48,2.52,53.73
1.73,49.32,2.47,53.52
1.72,49.35,2.45,53.52
1.72,49.09,2.46,53.28
1.74,50.97,2.52,55.23
1.72,49.33,2.46,53.50
1.73,49.27,2.45,53.46
1.74,49.53,2.45,53.72
1.72,49.52,2.47,53.71
1.76,48.97,2.44,53.17
1.75,50.05,2.65,54.45
1.80,49.51,2.48,53.78
1.76,49.58,2.44,53.78
1.71,49.52,2.49,53.73
1.79,49.48,2.50,53.76
1.75,49.27,2.44,53.47
1.78,49.59,2.44,53.82
1.75,49.42,2.50,53.66
1.77,49.26,2.52,53.56
1.80,49.44,2.47,53.71
1.76,49.31,2.50,53.57
1.76,49.42,2.53,53.71
1.76,49.29,1.00,52.05
