Time_offload,Time_process,Time_reply,Time_e2e
13.50,417.31,2.56,433.37
1.77,53.77,3.08,58.61
1.78,53.81,3.04,58.63
1.77,54.11,3.12,58.99
1.82,55.00,3.29,60.11
1.84,54.02,3.13,59.00
1.77,52.85,2.51,57.14
1.77,52.92,3.13,57.82
1.76,53.18,3.12,58.07
1.79,52.97,3.11,57.86
1.77,52.84,3.15,57.76
1.77,53.20,3.19,58.16
1.78,57.69,3.60,63.06
1.84,54.78,3.15,59.76
1.80,53.28,3.18,58.25
1.79,53.14,3.16,58.10
1.78,53.04,3.16,57.99
1.77,53.27,3.20,58.24
1.79,53.67,3.15,58.60
1.76,54.06,3.43,59.24
1.83,53.70,3.14,58.67
1.78,52.93,3.16,57.88
1.76,53.15,3.14,58.05
1.78,53.21,3.15,58.14
1.75,53.01,3.15,57.92
1.77,53.23,3.11,58.11
1.78,53.51,3.13,58.43
1.76,53.20,3.18,58.14
1.79,53.31,3.20,58.30
1.76,54.74,3.08,59.58
1.80,53.38,3.16,58.33
1.76,53.17,3.12,58.05
1.77,53.26,3.14,58.17
1.78,53.13,3.09,58.00
1.76,53.18,3.14,58.08
1.79,53.59,3.17,58.55
1.78,52.95,3.13,57.87
1.75,52.82,3.12,57.70
1.76,52.69,3.16,57.61
1.76,53.09,3.25,58.11
1.84,54.40,3.14,59.38
1.75,53.27,3.19,58.21
1.77,52.82,3.12,57.71
1.76,53.03,3.17,57.96
1.76,53.01,3.38,58.14
1.83,55.08,3.11,60.02
1.80,53.76,3.16,58.72
1.77,53.59,3.14,58.51
1.76,54.68,3.29,59.74
1.82,53.50,3.21,58.52
1.78,53.49,3.15,58.41
1.75,53.45,3.18,58.38
1.80,53.06,3.17,58.02
1.78,53.12,3.20,58.10
1.79,53.24,3.14,58.16
1.79,53.38,3.18,58.35
1.79,53.22,3.16,58.17
1.75,53.43,3.37,58.55
1.82,53.36,3.03,58.21
1.77,52.93,3.07,57.77
1.79,53.17,3.07,58.04
1.76,53.15,3.05,57.97
1.76,53.09,3.11,57.95
1.76,53.13,3.03,57.92
1.76,53.52,3.15,58.43
1.80,53.27,3.03,58.10
1.75,53.72,3.17,58.65
1.79,53.71,3.20,58.71
1.77,53.37,3.17,58.31
1.76,53.47,3.26,58.49
1.78,53.63,3.20,58.61
1.77,53.60,3.19,58.57
1.77,53.80,3.18,58.75
1.78,54.55,3.16,59.49
1.76,59.43,3.33,64.52
1.81,53.79,3.12,58.73
1.75,53.69,3.20,58.64
1.78,53.54,3.16,58.48
1.76,53.83,3.19,58.78
1.77,53.90,3.17,58.84
1.78,54.05,3.18,59.01
1.79,53.86,3.22,58.87
1.75,55.56,3.20,60.51
1.78,53.66,3.18,58.62
1.75,54.97,3.19,59.92
1.78,54.27,3.30,59.35
1.88,53.42,3.16,58.46
1.76,53.48,3.10,58.34
1.75,53.78,3.22,58.76
1.80,53.60,3.22,58.62
1.80,54.69,3.10,59.59
1.77,53.96,3.16,58.89
1.77,53.29,3.11,58.18
1.77,53.50,3.16,58.42
1.76,53.62,3.12,58.50
1.77,53.67,3.22,58.65
1.84,54.25,3.16,59.25
1.81,53.94,3.17,58.93
1.76,53.32,3.22,58.30
1.77,53.65,1.65,57.07
