Time_offload,Time_process,Time_reply,Time_e2e
4.92,446.90,2.52,454.34
1.74,53.51,2.44,57.69
1.75,50.34,2.46,54.55
1.73,50.84,2.44,55.02
1.75,51.00,2.42,55.18
1.74,49.74,2.43,53.91
1.74,49.20,2.41,53.35
1.74,48.92,2.43,53.08
1.73,48.75,2.51,52.99
1.80,48.76,2.49,53.05
1.81,51.23,2.47,55.50
1.75,49.38,2.45,53.58
1.75,49.54,2.41,53.70
1.73,49.02,2.48,53.22
1.77,48.88,2.46,53.11
1.75,49.19,2.42,53.36
1.74,48.89,2.45,53.08
1.75,49.97,2.57,54.29
1.82,50.24,2.51,54.57
1.79,49.24,2.54,53.56
1.79,49.36,2.45,53.61
1.74,49.02,2.49,53.25
1.76,48.93,2.45,53.14
1.75,49.01,2.55,53.31
1.84,48.82,2.49,53.15
1.78,48.98,2.46,53.22
1.75,49.15,2.46,53.36
1.74,49.31,2.49,53.54
1.76,50.40,2.47,54.63
1.74,49.26,2.48,53.48
1.76,49.08,2.50,53.34
1.73,49.10,2.45,53.28
1.73,48.98,2.44,53.16
1.71,49.23,2.44,53.38
1.73,49.09,2.47,53.29
1.76,49.89,2.48,54.13
1.74,49.36,2.46,53.56
1.75,49.21,2.47,53.42
1.74,49.27,2.45,53.46
1.73,49.84,2.49,54.05
1.75,49.50,2.45,53.70
1.71,49.51,2.45,53.67
1.72,50.28,2.45,54.45
1.77,49.48,2.45,53.71
1.77,48.99,2.45,53.20
1.74,51.16,2.44,55.34
1.76,49.59,2.47,53.83
1.77,49.11,2.56,53.44
1.78,49.20,2.48,53.46
1.74,49.04,2.48,53.26
1.77,49.59,2.47,53.82
1.74,65.20,2.46,69.40
1.76,49.65,2.49,53.90
1.77,49.16,2.46,53.38
1.73,49.45,2.49,53.67
1.77,48.94,2.47,53.18
1.74,49.60,2.72,54.07
1.81,52.28,2.52,56.61
1.81,49.97,2.44,54.22
1.74,49.13,2.52,53.38
1.80,49.00,2.44,53.24
1.72,49.61,2.49,53.82
1.76,50.83,2.46,55.06
1.75,49.56,2.45,53.76
1.73,49.25,2.62,53.60
1.77,50.09,2.45,54.31
1.73,49.10,2.47,53.30
1.72,49.11,2.45,53.28
1.75,49.28,2.49,53.53
1.73,49.25,2.48,53.47
1.77,49.29,2.46,53.52
1.74,49.19,2.47,53.40
1.74,49.37,2.44,53.56
1.73,49.12,2.48,53.33
1.76,49.65,2.56,53.96
1.77,50.90,2.46,55.14
1.74,49.52,2.43,53.69
1.74,49.54,2.44,53.72
1.72,49.38,2.47,53.58
1.75,49.36,2.70,53.81
1.93,50.56,2.48,54.97
1.78,49.21,2.50,53.49
1.73,49.08,2.45,53.26
1.74,49.16,2.44,53.33
1.73,49.30,2.47,53.51
1.73,49.30,2.46,53.50
1.74,48.95,2.45,53.15
1.72,49.32,2.42,53.46
1.72,50.88,2.50,55.11
1.76,57.18,2.49,61.44
1.78,52.05,2.48,56.32
1.77,50.18,2.44,54.38
1.72,49.37,2.45,53.54
1.74,49.32,2.46,53.51
1.73,49.48,2.45,53.67
1.73,50.14,2.77,54.64
1.88,51.45,2.65,55.97
1.84,49.91,2.45,54.20
1.73,49.54,2.53,53.79
1.75,49.98,0.98,52.71
