Time_offload,Time_process,Time_reply,Time_e2e
2.12,451.99,4.03,458.13
2.68,64.39,3.24,70.31
1.77,54.24,3.21,59.22
1.78,54.23,3.25,59.26
1.78,53.46,3.19,58.42
1.76,53.37,3.23,58.36
1.78,53.68,3.21,58.66
1.77,53.70,3.25,58.73
1.77,53.24,3.25,58.26
1.80,54.06,3.41,59.27
1.83,53.89,3.10,58.83
1.78,53.50,3.10,58.38
1.78,53.46,3.18,58.42
1.79,53.60,3.18,58.57
1.81,53.46,3.18,58.45
1.78,53.42,3.16,58.36
1.78,55.52,2.48,59.78
1.76,53.54,3.26,58.57
1.79,54.36,2.51,58.66
1.79,53.52,3.28,58.59
1.80,54.36,2.49,58.64
1.77,53.63,3.27,58.67
1.79,53.83,3.25,58.87
1.77,53.70,3.27,58.74
1.80,53.28,3.28,58.36
1.78,54.97,3.23,59.98
1.75,53.38,3.25,58.38
1.77,53.88,3.39,59.04
1.85,54.75,3.28,59.87
1.78,53.80,3.23,58.80
1.78,54.33,3.53,59.64
1.82,54.07,3.26,59.15
1.76,53.71,3.34,58.80
1.80,54.01,3.24,59.05
1.78,53.68,3.27,58.73
1.78,53.65,3.22,58.65
1.76,53.70,3.27,58.73
1.78,53.91,3.25,58.94
1.76,53.64,3.22,58.62
1.77,53.87,3.43,59.06
1.81,55.44,3.17,60.42
1.76,54.08,3.20,59.04
1.77,53.70,3.17,58.64
1.78,53.56,3.22,58.56
1.77,54.07,3.22,59.07
1.83,54.91,3.21,59.96
1.76,53.66,3.23,58.65
1.76,53.65,3.29,58.71
1.78,54.68,2.50,58.96
1.76,53.53,3.23,58.52
1.78,54.58,2.49,58.86
1.80,53.96,3.21,58.97
1.79,54.69,2.50,58.98
1.77,53.66,3.26,58.68
1.78,55.43,2.52,59.74
1.80,53.77,3.25,58.83
1.77,53.62,3.21,58.61
1.80,53.54,3.23,58.57
1.78,53.88,3.25,58.91
1.78,54.03,3.27,59.08
1.83,54.58,3.50,59.91
1.83,53.95,3.28,59.05
1.78,54.04,3.34,59.16
1.81,54.07,3.38,59.26
1.84,53.87,3.34,59.05
1.80,53.77,3.26,58.82
1.78,53.69,3.24,58.71
1.77,53.90,3.26,58.93
1.76,53.84,3.29,58.89
1.78,54.01,3.32,59.12
1.79,54.67,3.27,59.73
1.83,53.65,3.19,58.68
1.78,53.68,3.21,58.68
1.77,53.58,3.25,58.60
1.77,53.50,3.24,58.51
1.82,53.48,3.24,58.53
1.80,54.50,3.22,59.52
1.77,53.87,3.24,58.87
1.80,53.71,3.23,58.74
1.76,54.44,3.27,59.48
1.77,53.65,3.32,58.74
1.82,55.29,3.33,60.44
1.75,53.71,3.26,58.72
1.80,53.97,3.30,59.07
1.78,53.57,3.38,58.73
1.79,53.97,3.47,59.23
1.87,53.85,3.23,58.95
1.84,53.35,3.21,58.39
1.76,53.34,3.17,58.27
1.77,53.56,3.17,58.50
1.76,53.51,3.23,58.50
1.85,54.37,3.41,59.64
1.78,53.82,3.24,58.85
1.77,53.55,3.33,58.65
1.79,54.49,2.54,58.82
1.77,53.72,3.27,58.76
1.78,54.62,2.56,58.96
1.81,54.10,3.37,59.27
1.81,53.78,3.33,58.92
1.76,55.33,1.87,58.95
