Time_offload,Time_process,Time_reply,Time_e2e
2.45,409.08,2.59,414.12
1.77,54.67,2.53,58.97
1.81,51.14,2.54,55.49
1.84,51.88,2.63,56.35
1.88,51.13,2.49,55.49
1.77,50.09,2.50,54.36
1.76,50.27,2.56,54.59
1.81,49.04,2.52,53.37
1.78,49.74,2.53,54.05
1.79,49.63,2.53,53.95
1.81,49.67,2.51,53.98
1.77,49.82,2.51,54.10
1.79,49.80,2.60,54.19
1.79,51.87,2.52,56.18
1.81,49.67,2.57,54.06
1.83,49.75,2.51,54.09
1.78,50.18,2.54,54.51
1.83,49.67,2.53,54.03
1.78,50.02,2.52,54.32
1.78,49.59,2.54,53.91
1.80,50.05,2.57,54.42
1.80,49.54,2.62,53.96
1.80,49.95,2.49,54.23
1.79,49.75,2.60,54.14
1.84,49.63,2.51,53.99
1.78,49.81,2.51,54.09
1.76,49.67,2.54,53.97
1.79,49.62,2.49,53.90
1.75,49.38,2.57,53.70
1.76,49.37,2.52,53.64
1.79,51.35,2.61,55.75
1.78,50.14,2.55,54.47
1.80,50.10,2.58,54.48
1.83,49.36,2.51,53.71
1.78,49.85,2.51,54.14
1.78,49.96,2.54,54.28
1.81,49.62,2.50,53.93
1.77,49.65,2.64,54.06
1.88,50.77,2.52,55.16
1.77,50.02,2.52,54.30
1.77,49.26,2.55,53.58
1.79,49.40,2.50,53.70
1.76,49.57,2.49,53.81
1.75,49.56,2.50,53.82
1.79,49.69,2.53,54.01
1.80,49.40,2.51,53.71
1.76,49.60,2.48,53.85
1.79,49.52,2.63,53.93
1.82,51.60,2.48,55.91
1.77,50.08,2.50,54.35
1.79,49.64,2.53,53.96
1.80,49.57,2.52,53.90
1.76,49.64,2.55,53.95
1.81,49.63,2.50,53.95
1.78,49.66,2.59,54.02
1.86,49.48,2.55,53.88
1.80,49.47,2.50,53.76
1.80,49.51,2.49,53.80
1.77,49.57,2.51,53.85
1.78,49.50,2.52,53.79
1.81,49.78,2.48,54.07
1.76,49.42,2.54,53.72
1.78,49.73,2.54,54.05
1.79,49.54,2.46,53.79
1.77,49.94,2.68,54.39
1.81,49.75,2.56,54.13
1.89,49.39,2.49,53.77
1.78,49.45,2.57,53.80
1.82,49.53,2.55,53.91
1.80,49.50,2.52,53.82
1.79,50.38,2.59,54.77
1.82,49.99,2.52,54.34
1.77,50.62,2.48,54.87
1.76,49.51,2.52,53.79
1.76,49.42,2.55,53.73
1.78,49.24,2.49,53.51
1.75,49.62,2.48,53.86
1.79,49.55,2.62,53.96
1.80,49.75,2.50,54.06
1.79,49.46,2.50,53.75
1.77,49.49,2.54,53.80
1.80,49.87,2.68,54.35
1.85,50.24,2.55,54.63
1.77,49.91,2.52,54.20
1.81,49.58,2.51,53.90
1.76,49.35,2.53,53.64
1.79,49.85,2.49,54.13
1.76,49.55,2.49,53.81
1.78,49.47,2.53,53.78
1.80,49.61,2.54,53.95
1.78,49.55,2.51,53.84
1.79,49.70,2.51,53.99
1.77,49.59,2.50,53.85
1.77,49.86,2.53,54.16
1.77,49.20,2.50,53.47
1.78,49.50,2.56,53.83
1.78,49.55,2.50,53.83
1.76,49.71,2.50,53.97
1.78,49.88,2.56,54.22
1.75,50.91,1.07,53.73
