Time_offload,Time_process,Time_reply,Time_e2e
4.06,435.76,2.59,442.41
1.78,53.59,2.61,57.98
1.85,51.06,2.50,55.41
1.76,49.98,2.50,54.25
1.79,50.08,2.48,54.35
1.78,49.79,2.48,54.05
1.77,49.99,2.49,54.25
1.78,49.75,2.53,54.06
1.79,49.58,2.56,53.94
1.84,49.31,2.54,53.70
1.83,49.57,2.47,53.86
1.76,49.69,2.49,53.94
1.78,49.34,2.49,53.61
1.77,49.55,2.77,54.08
2.06,50.08,2.54,54.69
1.78,49.50,2.46,53.74
1.77,49.41,2.49,53.67
1.76,49.40,2.46,53.62
1.77,49.24,2.48,53.49
1.78,48.98,2.49,53.24
1.78,49.48,2.46,53.72
1.77,49.17,2.47,53.41
1.79,49.03,2.47,53.30
1.78,49.71,2.50,53.98
1.78,49.71,2.59,54.08
1.83,50.00,2.51,54.34
1.80,49.70,2.56,54.05
1.81,50.79,3.10,55.69
2.33,51.84,2.55,56.72
1.83,49.72,2.50,54.05
1.80,49.25,2.53,53.58
1.77,49.42,2.46,53.65
1.77,49.37,2.48,53.61
1.76,49.78,2.48,54.02
1.78,49.07,2.48,53.33
1.77,49.66,2.47,53.91
1.77,49.12,2.47,53.36
1.78,49.58,2.49,53.85
1.78,50.53,2.50,54.81
1.77,49.41,2.51,53.69
1.80,49.84,2.46,54.10
1.77,49.67,2.48,53.92
1.77,49.16,2.45,53.38
1.77,49.29,2.47,53.53
1.77,49.95,2.55,54.27
1.82,50.02,2.46,54.30
1.77,49.44,2.49,53.69
1.78,49.15,2.53,53.47
1.78,49.27,2.48,53.54
1.77,49.30,2.56,53.63
1.79,49.33,2.46,53.58
1.77,49.39,2.47,53.63
1.76,49.50,2.50,53.76
1.79,49.37,2.46,53.62
1.76,51.67,2.49,55.92
1.79,55.08,2.48,59.35
1.77,52.38,2.47,56.62
1.77,49.58,2.47,53.82
1.76,49.38,2.48,53.63
1.79,49.33,2.50,53.62
1.78,59.15,4.59,65.52
2.83,58.01,2.55,63.39
1.78,49.12,2.48,53.39
1.77,49.48,2.45,53.71
1.77,49.31,2.54,53.62
1.79,49.51,2.48,53.78
1.79,50.15,2.72,54.65
1.85,51.46,2.44,55.75
1.75,49.62,2.48,53.86
1.79,49.45,2.51,53.75
1.81,49.46,2.47,53.74
1.75,50.97,2.45,55.18
1.76,49.83,2.46,54.05
1.79,49.57,2.48,53.83
1.76,49.30,2.47,53.53
1.78,49.57,2.50,53.85
1.76,49.35,2.45,53.55
1.76,51.00,2.46,55.21
1.76,50.88,2.51,55.15
1.81,49.59,2.48,53.87
1.77,49.50,2.50,53.78
1.79,49.31,2.52,53.62
1.77,49.61,2.48,53.86
1.77,49.80,2.47,54.04
1.78,49.86,2.48,54.12
1.77,49.74,2.48,53.98
1.79,49.76,2.51,54.06
1.76,49.54,2.53,53.83
1.81,50.07,2.55,54.43
1.81,49.95,2.55,54.32
1.81,49.64,2.51,53.96
1.79,49.40,2.50,53.69
1.76,49.65,2.49,53.90
1.78,50.00,2.49,54.27
1.75,49.48,2.51,53.74
1.78,49.39,2.47,53.65
1.79,49.65,2.67,54.11
1.77,49.68,2.46,53.91
1.76,49.59,2.52,53.87
1.76,49.60,0.98,52.33
