Time_offload,Time_process,Time_reply,Time_e2e
13.27,430.78,2.71,446.76
1.92,54.74,3.03,59.69
1.77,54.12,3.10,58.99
1.80,54.73,3.11,59.63
1.80,54.76,3.08,59.64
1.83,56.33,3.12,61.29
1.84,56.55,3.10,61.49
1.82,53.21,3.14,58.17
1.78,53.14,3.22,58.14
1.81,53.22,3.12,58.15
1.78,54.00,3.16,58.95
1.79,53.73,3.15,58.67
1.78,53.73,3.15,58.66
1.78,53.80,3.18,58.76
1.81,53.37,3.18,58.35
1.77,53.97,3.32,59.06
1.88,54.80,3.30,59.98
1.92,54.68,3.13,59.72
1.81,53.38,3.15,58.33
1.79,59.78,4.18,65.76
2.40,60.78,3.14,66.31
1.87,53.30,3.05,58.22
1.77,56.52,3.32,61.61
1.84,56.58,3.18,61.60
1.79,53.46,3.23,58.48
1.77,53.52,3.22,58.52
1.75,53.46,3.19,58.40
1.80,53.58,3.20,58.59
1.80,54.20,3.21,59.22
1.76,53.62,3.17,58.55
1.80,54.39,3.24,59.43
1.79,55.61,3.25,60.64
1.82,53.79,3.13,58.75
1.76,53.80,3.22,58.78
1.78,53.72,3.22,58.72
1.78,55.72,3.25,60.75
1.78,53.74,3.15,58.67
1.75,53.98,3.22,58.95
1.81,53.76,3.16,58.72
1.77,53.74,3.31,58.82
1.83,53.52,3.26,58.60
1.82,53.85,3.17,58.83
1.77,53.46,3.15,58.38
1.76,54.06,3.12,58.94
1.76,56.56,3.24,61.55
1.78,55.07,3.20,60.05
1.91,54.39,3.03,59.34
1.74,53.65,3.17,58.56
1.79,53.19,3.17,58.15
1.81,53.32,3.11,58.24
1.81,54.16,3.21,59.18
1.81,57.97,3.25,63.03
1.85,53.47,3.23,58.55
1.80,53.85,3.21,58.86
1.77,54.09,3.18,59.04
1.77,57.26,3.45,62.47
1.82,53.76,3.22,58.80
1.79,66.32,4.26,72.37
2.40,58.77,3.19,64.36
1.75,53.81,3.25,58.81
1.81,54.36,3.05,59.22
1.76,52.91,3.07,57.74
1.77,53.07,3.04,57.89
1.78,57.69,3.24,62.72
1.86,53.20,3.24,58.30
1.79,53.30,3.18,58.27
1.77,53.06,3.15,57.98
1.77,53.17,3.17,58.11
1.78,53.25,3.17,58.20
1.77,53.36,3.17,58.30
1.79,53.13,3.12,58.04
1.76,53.21,3.18,58.16
1.77,54.51,3.21,59.49
1.79,53.46,3.15,58.40
1.77,53.24,3.19,58.20
1.79,53.28,3.15,58.23
1.77,53.12,3.16,58.04
1.76,53.19,3.19,58.14
1.77,53.21,3.13,58.11
1.78,54.49,3.17,59.44
1.78,53.02,3.19,57.98
1.80,53.11,3.19,58.10
1.79,53.05,3.14,57.97
1.76,53.25,3.11,58.12
1.77,53.10,3.16,58.03
1.78,53.23,3.17,58.17
1.80,53.09,3.16,58.06
1.77,53.21,3.16,58.14
1.77,55.01,2.51,59.29
1.77,53.45,3.04,58.27
1.76,53.25,3.32,58.34
1.95,53.70,3.03,58.69
1.77,53.24,3.03,58.03
1.77,52.75,3.05,57.57
1.78,53.12,3.11,58.01
1.79,53.26,3.23,58.29
1.81,53.46,3.18,58.45
1.80,53.56,3.14,58.49
1.77,53.25,3.28,58.30
1.75,53.40,1.72,56.87
