Time_offload,Time_process,Time_reply,Time_e2e
13.07,409.95,2.55,425.57
1.76,53.78,2.99,58.53
1.77,54.57,3.17,59.51
1.88,54.13,3.18,59.20
1.79,54.01,3.13,58.93
1.76,53.11,3.17,58.05
1.77,52.74,2.45,56.95
1.75,52.91,3.16,57.83
1.75,52.94,3.58,58.27
1.88,58.57,3.16,63.62
1.80,53.49,3.15,58.45
1.76,53.60,3.19,58.55
1.77,54.38,3.16,59.30
1.80,52.99,3.10,57.89
1.79,52.95,3.13,57.88
1.79,53.17,3.19,58.15
1.81,53.23,3.16,58.20
1.76,53.67,3.12,58.55
1.81,53.61,3.13,58.55
1.78,53.45,3.16,58.39
1.77,53.30,3.16,58.23
1.77,53.76,3.17,58.71
1.76,53.28,3.14,58.18
1.77,53.73,3.18,58.68
1.78,53.47,3.15,58.40
1.76,53.50,3.20,58.46
1.81,53.28,3.11,58.20
1.75,53.88,3.38,59.01
1.81,53.33,3.06,58.20
1.76,53.50,3.07,58.33
1.78,53.22,3.12,58.13
1.76,53.13,3.07,57.95
1.75,54.19,3.09,59.03
1.77,53.30,3.13,58.20
1.77,53.19,3.17,58.13
1.79,53.25,3.20,58.24
1.81,54.02,2.48,58.32
1.78,53.25,3.16,58.18
1.76,53.88,3.18,58.82
1.80,53.67,3.19,58.66
1.80,53.22,3.20,58.22
1.80,55.08,3.21,60.09
1.81,53.79,3.19,58.79
1.79,53.21,3.20,58.20
1.76,53.61,3.20,58.57
1.78,58.76,3.21,63.75
1.83,53.94,3.19,58.95
1.76,53.34,3.22,58.32
1.75,53.77,3.18,58.70
1.80,53.20,3.22,58.21
1.82,53.55,3.24,58.60
1.80,53.38,3.19,58.37
1.77,54.98,3.26,60.02
1.79,53.88,3.16,58.84
1.76,53.32,3.19,58.27
1.78,53.27,3.15,58.20
1.75,53.68,3.31,58.73
1.80,53.69,3.15,58.63
1.79,53.22,3.15,58.16
1.80,53.36,3.18,58.33
1.79,53.32,3.11,58.22
1.75,53.16,3.15,58.07
1.76,53.09,3.15,58.00
1.81,54.16,3.15,59.12
1.77,53.60,3.46,58.83
1.87,54.58,3.22,59.67
1.80,53.41,3.24,58.45
1.77,53.52,3.12,58.41
1.75,53.53,3.23,58.51
1.79,53.17,3.17,58.13
1.78,53.38,3.15,58.31
1.75,53.56,3.21,58.52
1.77,53.65,3.32,58.74
1.80,53.96,3.12,58.87
1.76,53.16,3.06,57.99
1.82,53.18,3.06,58.06
1.79,53.19,3.09,58.06
1.80,52.93,3.06,57.78
1.78,53.24,3.42,58.45
2.07,55.17,3.16,60.40
1.81,53.53,3.17,58.52
1.84,55.09,3.24,60.16
1.75,53.36,3.20,58.30
1.76,53.16,3.19,58.11
1.79,53.34,3.23,58.35
1.80,53.43,3.25,58.49
1.80,53.31,3.21,58.32
1.76,53.51,3.18,58.44
1.77,54.00,3.33,59.10
1.81,54.39,3.12,59.32
1.77,52.89,3.16,57.82
1.79,53.27,3.13,58.19
1.75,53.25,3.12,58.12
1.75,53.00,3.17,57.93
1.77,53.12,3.13,58.02
1.77,55.38,3.22,60.37
1.80,53.43,3.21,58.44
1.81,53.52,3.23,58.56
1.81,53.51,3.34,58.65
1.82,53.47,1.73,57.01
