Time_offload,Time_process,Time_reply,Time_e2e
11.10,416.03,2.53,429.67
1.74,53.01,2.55,57.30
1.80,50.28,2.47,54.55
1.75,50.44,2.49,54.68
1.75,49.80,2.43,53.97
1.72,49.88,2.53,54.13
1.80,50.17,2.48,54.45
1.75,48.69,2.52,52.97
1.79,48.93,2.55,53.26
1.83,48.96,2.51,53.29
1.73,50.11,2.61,54.45
1.83,49.29,2.45,53.57
1.74,49.02,2.51,53.26
1.77,48.87,2.48,53.13
1.76,48.94,2.50,53.20
1.73,48.84,2.41,52.98
1.72,51.04,2.61,55.37
1.80,49.87,2.53,54.21
1.78,49.24,2.50,53.52
1.76,49.52,2.55,53.83
1.81,49.45,2.51,53.77
1.75,49.01,2.49,53.24
1.75,49.13,2.51,53.38
1.77,49.43,2.55,53.75
1.82,50.20,2.51,54.53
1.81,49.09,2.50,53.39
1.75,49.13,2.46,53.35
1.74,49.19,2.46,53.38
1.75,48.91,2.47,53.12
1.73,48.79,2.51,53.03
1.80,49.01,2.61,53.41
1.76,49.08,2.48,53.32
1.76,49.14,2.51,53.41
1.72,48.88,2.44,53.04
1.72,49.97,2.53,54.22
1.80,49.27,2.49,53.56
1.75,49.45,2.53,53.74
1.78,49.08,2.52,53.38
1.75,49.08,2.45,53.29
1.73,49.15,2.48,53.37
1.74,49.12,2.51,53.37
1.77,49.32,2.48,53.57
1.71,49.13,2.53,53.37
1.76,49.03,2.49,53.29
1.77,48.99,2.52,53.29
1.79,48.83,2.49,53.10
1.77,48.94,2.51,53.21
1.77,48.83,2.56,53.16
1.75,49.04,2.49,53.28
1.76,49.46,2.59,53.81
1.86,51.64,2.54,56.04
1.77,49.96,2.44,54.18
1.75,49.35,2.53,53.62
1.79,49.04,2.49,53.31
1.74,49.17,2.57,53.48
1.83,49.23,2.51,53.56
1.75,49.18,2.50,53.43
1.75,48.99,2.50,53.24
1.76,49.78,2.53,54.07
1.80,50.30,2.48,54.58
1.76,49.19,2.47,53.42
1.72,49.16,2.48,53.37
1.76,49.24,2.48,53.47
1.73,48.72,2.47,52.92
1.75,48.99,2.58,53.31
1.75,48.93,2.45,53.13
1.73,48.94,2.48,53.15
1.75,49.05,2.45,53.25
1.79,49.26,2.54,53.59
1.79,49.65,2.49,53.93
1.78,49.23,2.50,53.52
1.77,49.01,2.49,53.27
1.75,48.96,2.49,53.20
1.73,49.88,2.54,54.16
1.86,50.22,2.51,54.60
1.80,48.85,2.48,53.12
1.74,49.01,2.49,53.24
1.77,48.81,2.46,53.03
1.73,48.78,2.44,52.96
1.74,48.64,2.48,52.86
1.73,48.70,2.54,52.98
1.76,49.28,2.54,53.58
1.77,49.15,2.54,53.45
1.79,49.03,2.65,53.48
1.84,50.06,2.54,54.43
1.77,49.24,2.52,53.52
1.79,49.23,2.56,53.58
1.81,48.73,2.50,53.04
1.77,49.11,2.54,53.42
1.80,52.66,2.55,57.01
1.82,49.58,2.52,53.92
1.79,50.33,2.51,54.64
1.74,49.24,2.44,53.42
1.74,49.21,2.51,53.46
1.75,49.50,2.63,53.88
1.84,49.78,2.56,54.18
1.77,49.02,2.51,53.30
1.73,49.15,2.48,53.37
1.74,48.83,2.52,53.09
1.73,49.04,2.54,53.31
1.77,49.10,2.57,53.44
1.79,50.86,2.55,55.20
1.75,49.40,2.57,53.72
1.75,49.26,2.60,53.61
1.80,50.84,2.62,55.26
1.81,49.47,2.52,53.80
1.80,49.00,2.50,53.30
1.77,49.11,2.58,53.46
1.75,49.29,2.62,53.66
1.80,49.50,2.46,53.76
1.73,48.93,2.50,53.16
1.75,49.07,2.47,53.29
1.73,48.76,2.48,52.98
1.75,48.74,2.46,52.95
1.74,48.72,2.45,52.91
1.75,48.94,2.57,53.26
1.79,48.50,2.45,52.74
1.75,48.80,2.44,52.98
1.74,48.92,2.57,53.23
1.75,50.46,2.49,54.69
1.75,49.09,2.52,53.36
1.77,49.76,2.53,54.07
1.82,49.64,2.67,54.13
1.86,49.44,2.53,53.83
1.81,49.10,2.51,53.42
1.82,48.96,2.55,53.33
1.77,49.03,2.48,53.28
1.75,49.23,2.50,53.48
1.76,49.58,2.65,53.99
1.83,49.60,2.50,53.92
1.76,49.00,2.50,53.26
1.78,49.17,2.52,53.47
1.78,50.00,2.59,54.36
1.80,50.70,2.50,55.00
1.76,49.37,2.54,53.68
1.79,49.06,2.50,53.35
1.77,49.19,2.52,53.48
1.77,49.08,2.49,53.34
1.77,48.84,2.53,53.13
1.79,49.03,2.49,53.31
1.76,48.99,2.48,53.23
1.76,49.38,2.52,53.66
1.78,48.91,2.50,53.20
1.76,48.90,2.50,53.16
1.82,49.00,2.49,53.30
1.76,49.09,2.53,53.37
1.76,49.07,2.54,53.37
1.77,49.13,2.52,53.42
1.78,48.94,2.47,53.20
1.76,48.89,2.76,53.42
1.76,49.10,2.49,53.35
1.77,50.48,2.68,54.93
1.82,49.36,2.57,53.76
1.78,49.52,2.49,53.78
1.76,48.88,2.50,53.14
1.76,49.30,2.49,53.56
1.77,48.89,2.49,53.15
1.75,49.33,2.50,53.58
1.78,49.21,2.47,53.46
1.76,50.39,2.48,54.63
1.71,49.14,2.48,53.32
1.74,48.90,2.47,53.10
1.74,48.67,2.51,52.93
1.75,49.29,2.47,53.51
1.76,49.14,2.48,53.39
1.77,48.96,2.58,53.31
1.79,49.25,2.54,53.58
1.75,49.30,2.61,53.66
1.82,49.94,2.51,54.27
1.77,52.28,2.47,56.51
1.76,50.80,2.53,55.10
1.80,49.63,2.53,53.95
1.81,68.26,4.77,74.83
3.54,54.19,2.49,60.22
1.80,49.53,2.53,53.86
1.80,49.29,2.56,53.65
1.83,49.33,2.73,53.89
1.96,49.49,2.54,53.99
1.80,49.23,2.52,53.54
1.79,49.03,2.50,53.32
1.76,49.20,2.50,53.47
1.79,49.09,2.53,53.41
1.79,49.66,2.61,54.06
1.83,50.56,2.60,54.98
1.78,49.46,2.54,53.78
1.81,49.45,2.54,53.80
1.76,49.52,2.52,53.80
1.79,49.38,2.52,53.70
1.76,49.18,2.54,53.48
