gpu_model,task,model_size,batch_size,image_size,time_type,value
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,1,320,ave_time,0.002495617396198213
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,1,320,batch_time,0.002495617396198213
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,1,640,ave_time,0.003168227197602391
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,1,640,batch_time,0.003168227197602391
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,1,1088,ave_time,0.005307485605590046
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,1,1088,batch_time,0.005307485605590046
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,2,320,ave_time,0.0016247343504801393
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,2,320,batch_time,0.0032494687009602787
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,2,640,ave_time,0.002403569652233273
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,2,640,batch_time,0.004807139304466546
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,2,1088,ave_time,0.004862659040372819
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,2,1088,batch_time,0.009725318080745638
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,4,320,ave_time,0.0010663415247108786
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,4,320,batch_time,0.004265366098843515
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,4,640,ave_time,0.0020834775001276284
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,4,640,batch_time,0.008333910000510513
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,4,1088,ave_time,0.004583395749796182
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,4,1088,batch_time,0.01833358299918473
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,8,320,ave_time,0.0008509520615916699
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,8,320,batch_time,0.006807616492733359
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,8,640,ave_time,0.0019371388742001727
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,8,640,batch_time,0.015497110993601381
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,8,1088,ave_time,0.005211465514730662
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,8,1088,batch_time,0.041691724117845295
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,12,320,ave_time,0.0008546691834150503
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,12,320,batch_time,0.010256030200980603
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,12,640,ave_time,0.0018861324002500623
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,12,640,batch_time,0.02263358880300075
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,12,1088,ave_time,0.004943709533351163
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,12,1088,batch_time,0.059324514400213954
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,16,320,ave_time,0.0007840737991500646
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,16,320,batch_time,0.012545180786401034
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,16,640,ave_time,0.0018164480687119066
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,16,640,batch_time,0.029063169099390506
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,16,1088,ave_time,0.004592792299808935
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,16,1088,batch_time,0.07348467679694295
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,20,320,ave_time,0.0007753577700350433
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,20,320,batch_time,0.015507155400700866
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,20,640,ave_time,0.001835744334384799
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,20,640,batch_time,0.03671488668769598
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,20,1088,ave_time,0.004553400254808366
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8n,20,1088,batch_time,0.09106800509616733
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,1,320,ave_time,0.0025337324943393467
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,1,320,batch_time,0.0025337324943393467
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,1,640,ave_time,0.003747503599151969
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,1,640,batch_time,0.003747503599151969
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,1,1088,ave_time,0.0075023822952061895
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,1,1088,batch_time,0.0075023822952061895
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,2,320,ave_time,0.001711415546014905
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,2,320,batch_time,0.00342283109202981
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,2,640,ave_time,0.0030565146007575095
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,2,640,batch_time,0.006113029201515019
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,2,1088,ave_time,0.0070587210590019826
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,2,1088,batch_time,0.014117442118003965
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,4,320,ave_time,0.0012304598232731224
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,4,320,batch_time,0.004921839293092489
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,4,640,ave_time,0.0027201649034395816
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,4,640,batch_time,0.010880659613758326
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,4,1088,ave_time,0.006753974128514528
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,4,1088,batch_time,0.027015896514058113
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,8,320,ave_time,0.0010408075497252867
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,8,320,batch_time,0.008326460397802294
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,8,640,ave_time,0.0025845097872661425
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,8,640,batch_time,0.02067607829812914
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,8,1088,ave_time,0.006582101524691098
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,8,1088,batch_time,0.05265681219752878
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,12,320,ave_time,0.0009838205995038151
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,12,320,batch_time,0.011805847194045782
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,12,640,ave_time,0.0026068764583518107
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,12,640,batch_time,0.03128251750022173
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,12,1088,ave_time,0.006959717142550896
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,12,1088,batch_time,0.08351660571061074
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,16,320,ave_time,0.0009627307314076461
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,16,320,batch_time,0.015403691702522338
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,16,640,ave_time,0.002542404312407598
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,16,640,batch_time,0.040678468998521566
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,16,1088,ave_time,0.0067078361433232205
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,16,1088,batch_time,0.10732537829317153
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,20,320,ave_time,0.0009563110652379692
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,20,320,batch_time,0.019126221304759383
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,20,640,ave_time,0.002514515119837597
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,20,640,batch_time,0.05029030239675194
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,20,1088,ave_time,0.006565092524979263
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8s,20,1088,batch_time,0.13130185049958526
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,1,320,ave_time,0.0035289698047563435
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,1,320,batch_time,0.0035289698047563435
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,1,640,ave_time,0.006485984195023775
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,1,640,batch_time,0.006485984195023775
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,1,1088,ave_time,0.013318040710873901
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,1,1088,batch_time,0.013318040710873901
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,2,320,ave_time,0.002583023288752884
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,2,320,batch_time,0.005166046577505768
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,2,640,ave_time,0.005120394751429558
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,2,640,batch_time,0.010240789502859116
