method,task1-rate,task2-rate,isQoS
ours,30,30,1
ours,30,60,1
ours,30,90,1
ours,30,120,1
ours,30,150,1
ours,30,180,1
ours,60,30,1
ours,60,60,1
ours,60,90,1
ours,60,120,1
ours,60,150,1
ours,60,180,0
ours,90,30,1
ours,90,60,1
ours,90,90,1
ours,90,120,1
ours,90,150,0
ours,90,180,0
ours,120,30,1
ours,120,60,1
ours,120,90,1
ours,120,120,0
ours,120,150,0
ours,120,180,0
ours,150,30,1
ours,150,60,1
ours,150,90,0
ours,150,120,0
ours,150,150,0
ours,150,180,0
ours,180,30,1
ours,180,60,0
ours,180,90,0
ours,180,120,0
ours,180,150,0
ours,180,180,0
mono-no-batch,30,30,1
mono-no-batch,30,60,0
mono-no-batch,30,90,0
mono-no-batch,30,120,0
mono-no-batch,30,150,0
mono-no-batch,30,180,0
mono-no-batch,60,30,1
mono-no-batch,60,60,0
mono-no-batch,60,90,0
mono-no-batch,60,120,0
mono-no-batch,60,150,0
mono-no-batch,60,180,0
mono-no-batch,90,30,0
mono-no-batch,90,60,0
mono-no-batch,90,90,0
mono-no-batch,90,120,0
mono-no-batch,90,150,0
mono-no-batch,90,180,0
mono-no-batch,120,30,0
mono-no-batch,120,60,0
mono-no-batch,120,90,0
mono-no-batch,120,120,0
mono-no-batch,120,150,0
mono-no-batch,120,180,0
mono-no-batch,150,30,0
mono-no-batch,150,60,0
mono-no-batch,150,90,0
mono-no-batch,150,120,0
mono-no-batch,150,150,0
mono-no-batch,150,180,0
mono-no-batch,180,30,0
mono-no-batch,180,60,0
mono-no-batch,180,90,0
mono-no-batch,180,120,0
mono-no-batch,180,150,0
mono-no-batch,180,180,0
mono-batch=2,30,30,1
mono-batch=2,30,60,1
mono-batch=2,30,90,0
mono-batch=2,30,120,0
mono-batch=2,30,150,0
mono-batch=2,30,180,0
mono-batch=2,60,30,1
mono-batch=2,60,60,1
mono-batch=2,60,90,0
mono-batch=2,60,120,0
mono-batch=2,60,150,0
mono-batch=2,60,180,0
mono-batch=2,90,30,1
mono-batch=2,90,60,1
mono-batch=2,90,90,0
mono-batch=2,90,120,0
mono-batch=2,90,150,0
mono-batch=2,90,180,0
mono-batch=2,120,30,0
mono-batch=2,120,60,0
mono-batch=2,120,90,0
mono-batch=2,120,120,0
mono-batch=2,120,150,0
mono-batch=2,120,180,0
mono-batch=2,150,30,0
mono-batch=2,150,60,0
mono-batch=2,150,90,0
mono-batch=2,150,120,0
mono-batch=2,150,150,0
mono-batch=2,150,180,0
mono-batch=2,180,30,0
mono-batch=2,180,60,0
mono-batch=2,180,90,0
mono-batch=2,180,120,0
mono-batch=2,180,150,0
mono-batch=2,180,180,0
mono-batch=4,30,30,1
mono-batch=4,30,60,1
mono-batch=4,30,90,1
mono-batch=4,30,120,0
mono-batch=4,30,150,0
mono-batch=4,30,180,0
mono-batch=4,60,30,1
mono-batch=4,60,60,1
mono-batch=4,60,90,1
mono-batch=4,60,120,0
mono-batch=4,60,150,0
mono-batch=4,60,180,0
mono-batch=4,90,30,1
mono-batch=4,90,60,1
mono-batch=4,90,90,1
mono-batch=4,90,120,0
mono-batch=4,90,150,0
mono-batch=4,90,180,0
mono-batch=4,120,30,1
mono-batch=4,120,60,1
mono-batch=4,120,90,1
mono-batch=4,120,120,0
mono-batch=4,120,150,0
mono-batch=4,120,180,0
mono-batch=4,150,30,0
mono-batch=4,150,60,0
mono-batch=4,150,90,0
mono-batch=4,150,120,0
mono-batch=4,150,150,0
mono-batch=4,150,180,0
mono-batch=4,180,30,0
mono-batch=4,180,60,0
mono-batch=4,180,90,0
mono-batch=4,180,120,0
mono-batch=4,180,150,0
mono-batch=4,180,180,0
