batch_size,image_size,value,fps,t_network,t_queue,throughput/100,te2e
1,320,6.044502207078,60,16.17,0.0,1.6543959547719556,22.214502207078002
1,320,6.044502207078,120,14.36,0.0,1.6543959547719556,20.404502207078
1,320,6.044502207078,180,14.61,0.0,1.6543959547719556,20.654502207078
1,320,6.044502207078,240,12.23,0.0,1.6543959547719556,18.274502207078
1,320,6.044502207078,300,,0.0,1.6543959547719556,
1,320,6.044502207078,360,8.89,0.0,1.6543959547719556,14.934502207078001
1,320,6.044502207078,420,8.87,0.0,1.6543959547719556,14.914502207077998
1,320,6.044502207078,480,7.46,0.0,1.6543959547719556,13.504502207078
1,320,6.044502207078,540,7.97,0.0,1.6543959547719556,14.014502207078
1,320,6.044502207078,600,8.28,0.0,1.6543959547719556,14.324502207077998
1,320,6.044502207078,660,8.25,0.0,1.6543959547719556,14.294502207078
1,320,6.044502207078,720,8.01,0.0,1.6543959547719556,14.054502207077999
1,320,6.044502207078,780,7.77,0.0,1.6543959547719556,13.814502207078
1,320,6.044502207078,840,7.85,0.0,1.6543959547719556,13.894502207077998
1,320,6.044502207078,900,8.05,0.0,1.6543959547719556,14.094502207078001
2,320,4.5025808969512,60,16.17,8.333333333333334,2.2209484357674123,29.005914230284535
2,320,4.5025808969512,120,14.36,4.166666666666667,2.2209484357674123,23.029247563617865
2,320,4.5025808969512,180,14.61,2.7777777777777777,2.2209484357674123,21.890358674728976
2,320,4.5025808969512,240,12.23,2.0833333333333335,2.2209484357674123,18.815914230284534
2,320,4.5025808969512,300,,1.6666666666666667,2.2209484357674123,
2,320,4.5025808969512,360,8.89,1.3888888888888888,2.2209484357674123,14.78146978584009
2,320,4.5025808969512,420,8.87,1.1904761904761907,2.2209484357674123,14.563057087427389
2,320,4.5025808969512,480,7.46,1.0416666666666667,2.2209484357674123,13.004247563617866
2,320,4.5025808969512,540,7.97,0.9259259259259259,2.2209484357674123,13.398506822877124
2,320,4.5025808969512,600,8.28,0.8333333333333334,2.2209484357674123,13.615914230284531
2,320,4.5025808969512,660,8.25,0.7575757575757576,2.2209484357674123,13.510156654526957
2,320,4.5025808969512,720,8.01,0.6944444444444444,2.2209484357674123,13.207025341395644
2,320,4.5025808969512,780,7.77,0.6410256410256411,2.2209484357674123,12.91360653797684
